	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	14.79	45.23	29.17	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
1	0	48.01	14.79	68.57	29.17	Item	0.0	0.4	0.0	0.0	0.0	974	4	0.0	0.0	0.0	0
2	0	71.35	14.79	116.92	29.17	Summary	0.0	0.27	0.0	0.0	0.0	842	7	0.0	0.0	0.0	0
3	0	549.05	14.79	594.04	29.17	KDKA-TV	0.0	0.27	0.0	0.0	0.0	3253	7	0.0	0.0	0.0	0
4	0	23.35	47.437	41.242	57.069	Order	0.0	0.28	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
5	0	43.188	47.437	52.134	57.069	ID:	0.0	0.28	0.0	0.0	0.0	119	3	0.0	0.0	0.0	0
6	0	57.45	47.437	76.91	57.069	56927	0.0	0.28	0.0	0.0	0.62	0	5	1.0	1.0	10.949543	0
7	0	109.1	47.587	139.83	57.219	LOC-POL	0.0	0.27	0.0	0.0	0.0	3531	7	0.0	0.0	0.0	0
8	0	193.6	47.637	207.6	57.269	FBD	0.0	0.24	0.0	0.0	0.0	1619	3	0.0	0.0	0.0	0
9	0	213.823	47.637	229.384	57.269	LBD:	0.0	0.11	0.0	0.0	0.0	1620	4	0.0	0.0	0.0	0
10	0	234.85	47.637	262.094	57.269	10/03/12	0.0	0.05	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
11	0	268.317	47.637	295.561	57.269	10/16/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
12	0	336.85	47.337	351.634	56.969	HL#:	0.0	0.18	0.0	0.0	0.0	1477	4	0.0	0.0	0.0	0
13	0	432.55	47.487	459.395	57.119	Created:	0.0	0.21	0.0	0.0	0.0	993	8	0.0	0.0	0.0	0
14	0	474.55	47.437	501.794	57.069	10/03/12	0.0	0.19	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
15	0	503.74	47.437	521.254	57.069	02:37	0.0	0.41	0.0	0.0	0.0	0	5	0.8	0.0	0.0	0
16	0	23.35	64.487	43.188	74.119	Client:	0.0	0.7	0.0	0.0	0.0	981	7	0.0	0.0	0.0	0
17	0	57.5	64.537	99.115	74.169	AMERICANS	0.0	0.93	0.0	0.0	0.0	984	9	0.0	0.0	0.0	0
18	0	101.061	64.537	115.838	74.169	FOR	0.0	0.93	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
19	0	117.658	64.537	130.755	74.169	TAX	0.0	0.93	0.0	0.0	0.0	319	3	0.0	0.0	0.0	0
20	0	132.701	64.537	168.87	74.169	REFORM...	0.0	0.93	0.0	0.0	0.0	5657	9	0.0	0.0	0.0	0
21	0	193.05	64.537	209.388	74.169	CPE:	0.0	0.6	0.0	0.0	0.0	411	4	0.0	0.0	0.0	0
22	0	245.976	64.537	261.544	74.169	2813	0.0	0.19	0.0	0.0	0.53	0	4	1.0	1.0	7.9423623	0
