	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	201.42	18.003	409.752	61.455	DUPLICATE	0.0	0.29	0.0	0.0	0.0	1262	9	0.0	0.0	0.0	0
1	0	537.602	17.963	556.282	26.899	Page	0.0	0.29	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
2	0	293.445	24.283	359.237	42.155	INVOICE	0.0	0.22	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
3	0	119.999	54.193	164.999	65.363	WTEV-TV	0.0	0.22	0.0	0.0	0.0	16151	7	0.0	0.0	0.0	0
4	0	119.999	66.193	147.799	77.363	11700	0.0	0.2	0.0	0.0	0.62	0	5	1.0	1.0	9.36743	0
5	0	150.579	66.193	185.029	77.363	Central	0.0	0.22	0.0	0.0	0.0	3796	7	0.0	0.0	0.0	0
6	0	187.809	66.193	228.389	77.363	Parkway	0.0	0.28	0.0	0.0	0.0	2795	7	0.0	0.0	0.0	0
7	0	309.002	66.713	334.346	75.649	Invoice	0.0	0.27	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
8	0	385.501	66.713	410.845	75.649	Invoice	0.0	0.31	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
9	0	413.069	66.713	429.965	75.649	Date	0.0	0.32	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
10	0	435.75	66.713	461.094	75.649	Invoice	0.0	0.34	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
11	0	463.318	66.713	485.55	75.649	Month	0.0	0.35	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
12	0	507.751	66.713	533.095	75.649	Invoice	0.0	0.35	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
13	0	535.319	66.713	558.439	75.649	Period	0.0	0.35	0.0	0.0	0.0	107	6	0.0	0.0	0.0	0
14	0	119.999	78.193	182.259	89.363	Jacksonville,	0.0	0.26	0.0	0.0	0.0	3553	13	0.0	0.0	0.0	0
15	0	202.819	78.193	230.619	89.363	32224	0.0	0.17	0.0	0.0	0.5	0	5	1.0	1.0	10.380498	0
16	0	309.002	78.953	338.354	87.889	53548-1	0.0	0.13	0.0	0.0	0.0	0	7	0.85714287	0.0	0.0	0
17	0	385.501	78.953	416.637	87.889	09/16/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
18	0	435.75	78.953	477.094	87.889	September	0.0	0.19	0.0	0.0	0.0	257	9	0.0	0.0	0.0	0
19	0	479.318	78.953	497.11	87.889	2012	0.0	0.17	0.0	0.0	0.53	0	4	1.0	1.0	7.6073813	0
20	0	507.751	78.953	538.887	87.889	08/27/12	0.0	0.14	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
21	0	545.999	78.953	577.135	87.889	09/10/12	0.0	0.17	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
22	0	119.999	90.193	146.109	101.363	Main:	0.0	0.22	0.0	0.0	0.0	504	5	0.0	0.0	0.0	0
23	0	154.449	90.193	177.789	101.363	(904)	0.0	0.19	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
24	0	180.569	90.193	222.819	101.363	996-0400	0.0	0.19	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
25	0	119.999	102.193	153.889	113.363	Billing:	0.0	0.23	0.0	0.0	0.0	11	8	0.0	0.0	0.0	0
26	0	309.002	100.463	333.906	109.399	Station	0.0	0.28	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
27	0	370.5	100.463	399.404	109.399	Account	0.0	0.28	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
28	0	401.628	100.463	436.308	109.399	Executive	0.0	0.26	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
29	0	478.5	100.463	498.508	109.399	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
30	0	500.732	100.463	521.628	109.399	Office	0.0	0.32	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
31	0	538.501	100.463	558.509	109.399	Sales	0.0	0.35	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
32	0	560.733	100.463	586.077	109.399	Region	0.0	0.35	0.0	0.0	0.0	69	6	0.0	0.0	0.0	0
33	0	309.002	112.703	345.002	121.639	WTEV-TV	0.0	0.35	0.0	0.0	0.0	16151	7	0.0	0.0	0.0	0
34	0	370.5	112.463	408.724	121.399	Millennium	0.0	0.19	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
35	0	410.948	112.463	453.188	121.399	Washington	0.0	0.25	0.0	0.0	0.0	97	10	0.0	0.0	0.0	0
36	0	478.5	112.463	516.724	121.399	Millennium	0.0	0.23	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
37	0	540.0	112.463	569.344	121.399	National	0.0	0.29	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
38	0	18.0	126.067	105.864	135.123	http://www.actionnewsjax.com	0.0	0.33	0.0	0.0	0.0	16152	28	0.0	0.0	0.0	0
39	0	279.751	134.213	315.759	143.149	Advertiser	0.0	0.51	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
40	0	414.0	134.213	441.568	143.149	Product	0.0	0.51	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
41	0	516.002	134.213	547.122	143.149	Estimate	0.0	0.47	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
42	0	549.346	134.213	577.794	143.149	Number	0.0	0.45	0.0	0.0	0.0	625	6	0.0	0.0	0.0	0
43	0	18.0	146.963	39.336	155.899	Billing	0.0	0.49	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
44	0	41.56	146.963	73.128	155.899	Address:	0.0	0.85	0.0	0.0	0.0	417	8	0.0	0.0	0.0	0
45	0	279.751	146.453	320.655	155.389	Americans	0.0	1.0	0.0	0.0	0.0	984	9	0.0	0.0	0.0	advertiser
46	0	322.879	146.453	333.543	155.389	for	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
47	0	335.767	146.453	375.335	155.389	Prosperity	0.0	1.0	0.0	0.0	0.0	1085	10	0.0	0.0	0.0	advertiser
48	0	414.0	146.453	430.0	155.389	AFP	0.0	0.94	0.0	0.0	0.0	5080	3	0.0	0.0	0.0	0
49	0	516.002	146.453	529.346	155.389	433	0.0	0.63	0.0	0.0	0.57	0	3	1.0	1.0	6.0730443	0
50	0	385.501	163.463	405.061	172.399	Flight	0.0	0.45	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
51	0	407.285	163.463	428.181	172.399	Dates	0.0	0.28	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
52	0	471.6	163.463	492.048	172.399	Order	0.0	0.39	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
53	0	534.96	163.463	544.296	172.399	Alt	0.0	0.39	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
54	0	546.52	163.463	566.968	172.399	Order	0.0	0.39	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
55	0	91.5	169.758	125.502	179.811	Mentzer	0.0	0.35	0.0	0.0	0.0	413	7	0.0	0.0	0.0	0
56	0	128.004	169.758	153.51	179.811	Media	0.0	0.35	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
57	0	156.012	169.758	193.038	179.811	Services	0.0	0.34	0.0	0.0	0.0	299	8	0.0	0.0	0.0	0
