	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	223.68	20.11	266.592	29.771	Contract	0.0	0.17	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	289.68	20.365	339.224	31.074	1390440	0.0	0.12	0.0	0.0	0.74	0	7	1.0	1.0	14.145131	0
2	0	447.96	22.274	460.776	27.512	Date	0.0	0.23	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
3	0	462.364	22.274	483.772	27.512	Entered	0.0	0.25	0.0	0.0	0.0	598	7	0.0	0.0	0.0	0
4	0	503.76	22.607	532.046	29.393	10/08/12	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
5	0	608.283	21.442	639.915	28.193	Asheville	0.0	0.26	0.0	0.0	0.0	2054	9	0.0	0.0	0.0	0
6	0	641.895	21.442	669.178	28.193	(WLOS)	0.0	0.26	0.0	0.0	0.0	1973	6	0.0	0.0	0.0	0
7	0	223.68	33.194	248.489	38.432	Schedule	0.0	0.26	0.0	0.0	0.0	387	8	0.0	0.0	0.0	0
8	0	250.077	33.194	265.707	38.432	Dates	0.0	0.2	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
9	0	289.68	33.527	348.804	40.313	10/23/12-10/29/12	0.0	0.2	0.0	0.0	0.0	0	17	0.7058824	0.0	0.0	0
10	0	447.96	33.794	459.333	39.032	Last	0.0	0.29	0.0	0.0	0.0	330	4	0.0	0.0	0.0	0
11	0	460.925	33.794	484.486	39.032	Modified	0.0	0.29	0.0	0.0	0.0	645	8	0.0	0.0	0.0	0
12	0	503.76	34.127	532.046	40.913	10/08/12	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
13	0	618.0	31.007	648.163	37.793	Broadcast	0.0	0.34	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
14	0	650.274	31.007	669.528	37.793	Month	0.0	0.34	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
15	0	678.6	30.9	696.519	37.07	Spots	0.0	0.34	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
16	0	747.12	30.9	761.949	37.07	Rate	0.0	0.42	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
17	0	608.28	40.967	620.83	47.753	Oct.	0.0	0.42	0.0	0.0	0.0	464	4	0.0	0.0	0.0	0
18	0	625.206	40.967	640.535	47.753	2012	0.0	0.36	0.0	0.0	0.5	0	4	1.0	1.0	7.6073813	0
19	0	720.361	40.967	759.218	47.753	$144,200.00	0.0	0.12	0.0	0.0	0.67	0	11	0.72727275	1.0	11.878963	0
20	0	115.44	46.967	137.171	55.409	WLOS	0.0	0.3	0.0	0.0	0.0	1973	4	0.0	0.0	0.0	0
21	0	139.204	46.967	168.865	55.409	Asheville	0.0	0.44	0.0	0.0	0.0	2054	9	0.0	0.0	0.0	0
22	0	223.682	44.375	254.862	50.195	Advertiser	0.0	0.76	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
23	0	289.68	44.808	313.14	51.594	Restore	0.0	1.0	0.0	0.0	0.0	1050	7	0.0	0.0	0.0	advertiser
24	0	315.353	44.808	326.63	51.594	Our	0.0	1.0	0.0	0.0	0.0	308	3	0.0	0.0	0.0	advertiser
25	0	328.801	44.808	348.545	51.594	Future	0.0	1.0	0.0	0.0	0.0	693	6	0.0	0.0	0.0	advertiser
26	0	350.758	44.808	375.273	51.594	(68533)	0.0	0.82	0.0	0.0	0.0	0	7	0.71428573	0.0	0.0	0
27	0	447.96	45.434	469.368	50.672	Entered	0.0	0.46	0.0	0.0	0.0	598	7	0.0	0.0	0.0	0
28	0	503.76	44.087	523.275	50.873	Louise	0.0	0.32	0.0	0.0	0.0	2342	6	0.0	0.0	0.0	0
29	0	525.488	44.087	546.599	50.873	Palmer	0.0	0.27	0.0	0.0	0.0	2399	6	0.0	0.0	0.0	0
30	0	608.28	49.367	622.389	56.153	Nov.	0.0	0.19	0.0	0.0	0.0	604	4	0.0	0.0	0.0	0
31	0	626.765	49.367	642.095	56.153	2012	0.0	0.17	0.0	0.0	0.5	0	4	1.0	1.0	7.6073813	0
32	0	724.201	49.367	759.217	56.153	$37,100.00	0.0	0.15	0.0	0.0	0.71	0	10	0.7	1.0	10.5213995	0
33	0	115.44	57.527	127.711	65.969	110	0.0	0.21	0.0	0.0	0.8	0	3	1.0	1.0	4.7095304	0
34	0	129.718	57.527	167.85	65.969	Technology	0.0	0.23	0.0	0.0	0.0	1861	10	0.0	0.0	0.0	0
35	0	223.682	56.615	245.503	62.435	Agency	0.0	0.28	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
36	0	289.68	57.528	314.266	64.314	Mentzer	0.0	0.28	0.0	0.0	0.0	413	7	0.0	0.0	0.0	0
37	0	316.436	57.528	334.623	64.314	Media	0.0	0.28	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
38	0	336.727	57.528	361.908	64.314	Services	0.0	0.29	0.0	0.0	0.0	299	8	0.0	0.0	0.0	0
39	0	364.08	57.528	384.754	64.314	(1381)	0.0	0.29	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
40	0	447.96	56.954	465.79	62.192	CO-OP	0.0	0.29	0.0	0.0	0.0	675	5	0.0	0.0	0.0	0
41	0	608.28	61.109	625.241	67.31	Grand	0.0	0.3	0.0	0.0	0.0	503	5	0.0	0.0	0.0	0
