	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	454.8	14.958	454.8	24.206	(cid:9)	0.0	0.22	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
1	0	419.75	20.708	435.869	29.956	Print	0.0	0.26	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
2	0	438.049	20.708	454.607	29.956	Date	0.0	0.26	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
3	0	470.899	20.509	500.79	29.757	10/15/12	0.0	0.23	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	500.899	20.509	500.899	29.757	(cid:9)	0.0	0.23	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
5	0	529.7	20.259	552.863	29.507	Page	0.0	0.23	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
6	0	274.55	26.03	330.557	45.665	ORDER	0.0	0.31	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
7	0	196.099	53.611	219.816	65.171	Flight	0.0	0.31	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
8	0	222.512	53.611	247.848	65.171	Dates	0.0	0.31	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
9	0	250.894	52.779	331.009	65.274	10/08/12-10/14/12	0.0	0.23	0.0	0.0	0.0	0	17	0.7058824	0.0	0.0	0
10	0	375.1	71.41	399.893	82.97	Order	0.0	0.27	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
11	0	402.59	71.41	419.846	82.97	Sep	0.0	0.27	0.0	0.0	0.0	241	3	0.0	0.0	0.0	0
12	0	420.25	70.935	420.25	83.073	(cid:9)	0.0	0.27	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
13	0	446.899	70.685	484.467	82.823	0015:00	0.0	0.26	0.0	0.0	0.0	0	7	0.85714287	0.0	0.0	0
14	0	40.549	82.766	92.807	104.673	WPLG	0.0	0.3	0.0	0.0	0.0	4558	4	0.0	0.0	0.0	0
15	0	422.149	88.06	422.149	99.62	(cid:9)	0.0	0.3	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
16	0	196.3	96.111	230.071	107.671	Product	0.0	0.3	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
17	0	375.6	95.861	413.722	107.421	Estimate	0.0	0.25	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
18	0	447.1	95.279	463.213	107.774	385	0.0	0.25	0.0	0.0	0.86	0	3	1.0	1.0	5.9558372	0
19	0	423.35	106.56	423.35	118.12	(cid:9)	0.0	0.23	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
20	0	15.849	117.961	52.883	129.521	Contract	0.0	0.23	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
21	0	61.056	117.961	98.63	129.521	Revision	0.0	0.27	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
22	0	99.349	117.129	99.349	129.624	(cid:9)	0.0	0.35	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
23	0	131.3	117.129	170.531	129.624	257082	0.0	0.4	0.0	0.0	0.59	0	6	1.0	1.0	12.457154	0
24	0	196.55	113.978	256.771	126.473	RPOF3PACK	0.0	0.47	0.0	0.0	0.0	8253	9	0.11111111	0.0	0.0	advertiser
25	0	375.1	114.361	386.653	125.921	Alt	0.0	0.44	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
26	0	389.406	114.361	414.71	125.921	Order	0.0	0.39	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
27	0	447.35	113.529	490.785	126.024	06281149	0.0	0.22	0.0	0.0	0.56	0	8	1.0	1.0	15.653064	0
28	0	426.699	125.861	426.699	137.421	(cid:9)	0.0	0.25	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
29	0	16.8	135.961	50.561	147.521	Original	0.0	0.25	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
30	0	53.285	135.961	73.983	147.521	Date	0.0	0.25	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
31	0	82.156	135.961	119.729	147.521	Revision	0.0	0.23	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
32	0	195.849	138.611	226.865	150.171	Agency	0.0	0.23	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
33	0	229.45	138.611	251.677	150.171	Conn	0.0	0.3	0.0	0.0	0.0	17378	4	0.0	0.0	0.0	0
34	0	256.291	138.136	287.176	150.274	15%	0.0	0.33	0.0	0.0	0.0	0	3	0.6666667	0.0	0.0	0
35	0	375.85	133.56	401.453	145.12	Billing	0.0	0.35	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
36	0	404.122	133.56	425.463	145.12	Type	0.0	0.35	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
37	0	447.6	133.085	469.901	145.223	Cash	0.0	0.27	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
38	0	426.25	143.711	426.25	155.271	(cid:9)	0.0	0.27	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
39	0	89.75	151.785	133.068	163.923	08/15/12	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
40	0	136.162	151.785	179.48	163.923	10/09/12	0.0	0.26	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
41	0	375.85	151.56	400.643	163.12	Order	0.0	0.32	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
42	0	403.34	151.56	424.903	163.12	Type	0.0	0.33	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
43	0	447.6	150.835	494.267	162.973	GENERAL	0.0	0.36	0.0	0.0	0.0	138	7	0.0	0.0	0.0	0
44	0	196.8	156.361	222.67	167.921	Billing	0.0	0.37	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
45	0	225.367	156.361	258.793	167.921	Contact	0.0	0.37	0.0	0.0	0.0	79	7	0.0	0.0	0.0	0
46	0	428.899	161.961	428.899	173.521	(cid:9)	0.0	0.32	0.0	0.0	0.0	1879	7	0.14285715	0.0	0.0	0
47	0	376.1	168.611	401.703	180.171	Billing	0.0	0.33	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
48	0	404.372	168.611	428.372	180.171	Cycle	0.0	0.33	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
49	0	448.1	168.136	493.724	180.274	EOM/EOC	0.0	0.33	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
50	0	15.599	174.111	60.159	185.671	Advertiser	0.0	0.33	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
51	0	63.385	173.279	112.767	185.774	POL/RPOF	0.0	0.35	0.0	0.0	0.0	17379	8	0.0	0.0	0.0	0
52	0	123.509	173.279	193.815	185.774	PACK//R/STR/F	0.0	0.35	0.0	0.0	0.0	17380	13	0.0	0.0	0.0	0
53	0	196.8	184.779	212.913	197.274	566	0.0	0.35	0.0	0.0	0.57	0	3	1.0	1.0	6.340359	0
54	0	215.598	184.779	242.965	197.274	South	0.0	0.37	0.0	0.0	0.0	849	5	0.0	0.0	0.0	0
55	0	376.1	185.16	401.97	196.72	Billing	0.0	0.37	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
56	0	404.667	185.16	444.019	196.72	Calendar	0.0	0.37	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
57	0	447.414	184.435	508.181	196.573	BROADCAST	0.0	0.34	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
58	0	197.05	196.779	224.714	209.274	Route	0.0	0.34	0.0	0.0	0.0	2723	5	0.0	0.0	0.0	0
59	0	227.429	196.779	243.717	209.274	303	0.0	0.3	0.0	0.0	0.71	0	3	1.0	1.0	5.7170277	0
60	0	376.3	203.861	434.571	215.421	Demographic	0.0	0.3	0.0	0.0	0.0	40	11	0.0	0.0	0.0	0
61	0	438.635	203.386	470.394	215.524	A35+	0.0	0.3	0.0	0.0	0.0	16	4	0.5	0.0	0.0	0
62	0	16.1	216.361	49.117	227.921	Agency	0.0	0.3	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
