	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	25.174	48.232	25.217	Contract	0.0	0.26	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	25.174	89.584	25.217	Agreement	0.0	0.26	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	25.174	125.16	25.217	Between:	0.0	0.29	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	25.174	445.72	25.217	Print	0.0	0.29	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	25.174	464.84	25.217	Date	0.0	0.26	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	25.174	505.137	25.217	10/11/12	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	25.174	551.931	25.217	Page	0.0	0.22	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	41.705	350.94	41.794	CONTRACT	0.0	0.3	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	63.207	151.099	63.262	WNBC	0.0	0.32	0.0	0.0	0.0	3451	4	0.0	0.0	0.0	0
9	0	406.681	60.424	436.913	60.467	Contract	0.0	0.32	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	60.424	474.257	60.467	Revision	0.0	0.32	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	60.424	505.178	60.467	Alt	0.0	0.31	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	60.424	527.85	60.467	Order	0.0	0.31	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	133.899	75.207	187.809	75.262	Rockefeller	0.0	0.3	0.0	0.0	0.0	4401	11	0.0	0.0	0.0	0
14	0	190.589	75.207	216.159	75.262	Plaza	0.0	0.18	0.0	0.0	0.0	616	5	0.0	0.0	0.0	0
15	0	417.001	72.424	443.689	72.467	341332	0.0	0.23	0.0	0.0	0.47	0	6	1.0	1.0	12.740614	0
16	0	119.999	87.207	140.559	87.262	New	0.0	0.31	0.0	0.0	0.0	46	3	0.0	0.0	0.0	0
17	0	143.339	87.207	168.349	87.262	York,	0.0	0.31	0.0	0.0	0.0	561	5	0.0	0.0	0.0	0
18	0	190.579	87.207	218.379	87.262	10112	0.0	0.27	0.0	0.0	0.5	0	5	1.0	1.0	9.221577	0
19	0	309.002	85.924	336.57	85.967	Product	0.0	0.17	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
20	0	119.999	99.207	143.339	99.262	(212)	0.0	0.42	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
21	0	146.119	99.207	188.369	99.262	664-4444	0.0	0.55	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
22	0	307.5	98.164	329.724	98.208	SEAN	0.0	0.86	0.0	0.0	0.0	5303	4	0.0	0.0	0.0	0
23	0	331.948	98.164	371.948	98.208	MALONEY	0.0	0.86	0.0	0.0	0.0	6992	7	0.0	0.0	0.0	0
24	0	374.172	98.164	391.06	98.208	FOR	0.0	0.86	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
25	0	393.284	98.164	439.068	98.208	CONGRESS	0.0	0.86	0.0	0.0	0.0	290	8	0.0	0.0	0.0	0
26	0	308.251	110.674	338.483	110.717	Contract	0.0	0.65	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
27	0	340.707	110.674	361.603	110.717	Dates	0.0	0.42	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
