	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	13.595	14.587	84.308	22.622	ContractAgreement	0.0	0.39	0.0	0.0	0.0	9187	17	0.0	0.0	0.0	0
1	0	87.441	14.587	119.697	22.622	Between:	0.0	0.47	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
2	0	428.362	13.416	464.159	20.224	PrintDate	0.0	0.47	0.0	0.0	0.0	7950	9	0.0	0.0	0.0	0
3	0	472.955	13.416	503.741	20.224	09/12/12	0.0	0.38	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	532.397	11.438	550.547	20.254	Page	0.0	0.35	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	259.033	25.167	347.283	38.838	CONTRACT	0.0	0.35	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
6	0	404.552	49.416	439.813	56.224	Contract/	0.0	0.35	0.0	0.0	0.0	53	9	0.0	0.0	0.0	0
7	0	443.12	49.416	473.409	56.224	Revision	0.0	0.29	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
8	0	494.983	48.696	532.577	55.504	AltOrder#	0.0	0.31	0.0	0.0	0.0	6764	9	0.0	0.0	0.0	0
9	0	114.081	52.553	143.674	60.858	WJBK	0.0	0.27	0.0	0.0	0.0	896	4	0.0	0.0	0.0	0
10	0	115.017	63.764	168.844	72.454	16550West	0.0	0.19	0.0	0.0	0.0	696	9	0.5555556	0.0	0.0	0
11	0	181.531	63.764	199.917	72.454	Mile	0.0	0.19	0.0	0.0	0.0	2208	4	0.0	0.0	0.0	0
12	0	203.835	63.764	228.358	72.454	Road	0.0	0.38	0.0	0.0	0.0	438	4	0.0	0.0	0.0	0
13	0	415.873	61.296	442.376	68.55	125823	0.0	0.42	0.0	0.0	0.47	0	6	1.0	1.0	11.74264	0
14	0	495.68	60.576	558.515	67.83	DebbieStabenow	0.0	0.52	0.0	0.0	0.0	11321	14	0.0	0.0	0.0	0
15	0	114.818	75.393	166.239	85.293	Southfield,	0.0	0.48	0.0	0.0	0.0	2169	11	0.0	0.0	0.0	0
16	0	186.743	75.393	214.602	85.293	48075	0.0	0.41	0.0	0.0	0.5	0	5	1.0	1.0	10.780539	0
17	0	306.32	76.011	333.459	82.428	Product	0.0	0.36	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
18	0	115.001	86.655	137.206	97.325	(248)	0.0	0.41	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
19	0	141.373	86.655	183.304	97.325	557-2000	0.0	0.44	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
20	0	304.755	86.96	448.462	94.471	StabenowWeekof10/29>\ddtoSked	0.0	0.52	0.0	0.0	0.0	36693	29	0.13793103	0.0	0.0	0
21	0	451.651	86.96	473.601	94.11	11850	0.0	0.47	0.0	0.0	0.5	0	5	1.0	1.0	9.380168	0
22	0	305.555	100.536	335.284	107.344	Contract	0.0	0.44	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
23	0	338.358	100.536	358.679	107.344	Dates	0.0	0.44	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
24	0	405.67	99.816	442.937	106.624	Estimate#	0.0	0.38	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
25	0	305.485	112.514	375.364	119.224	10/29/12-11/06/12	0.0	0.23	0.0	0.0	0.0	0	17	0.7058824	0.0	0.0	0
26	0	405.569	112.154	427.884	118.864	11850	0.0	0.36	0.0	0.0	0.5	0	5	1.0	1.0	9.380168	0
27	0	305.982	125.016	342.418	131.824	Advertiser	0.0	0.4	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
28	0	484.482	123.622	511.676	131.266	Original	0.0	0.62	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
29	0	514.76	123.622	535.061	131.266	Date/	0.0	0.72	0.0	0.0	0.0	8	5	0.0	0.0	0.0	0
30	0	538.161	123.622	568.089	131.266	Revision	0.0	0.81	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
31	0	306.195	136.896	386.101	144.15	StabenowforSenate	0.0	1.0	0.0	0.0	0.0	11322	17	0.0	0.0	0.0	advertiser
32	0	491.315	135.502	522.101	143.146	09/10/12	0.0	0.81	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
33	0	544.956	135.502	575.38	143.146	09/11/12	0.0	0.67	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
34	0	14.023	148.731	29.552	155.148	And:	0.0	0.21	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
35	0	405.326	149.136	426.388	156.391	Billing	0.0	0.21	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
36	0	429.395	149.136	449.397	156.391	Cycle	0.0	0.26	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
37	0	457.887	148.416	478.585	155.671	Billing	0.0	0.29	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
38	0	481.591	148.416	514.21	155.671	Calendar	0.0	0.34	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
39	0	536.312	149.091	577.577	155.508	Cash/Trade	0.0	0.35	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
40	0	405.311	161.016	443.245	168.27	EOM/EOC	0.0	0.35	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
41	0	457.519	161.376	493.738	168.184	Broadcast	0.0	0.36	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
42	0	536.31	161.016	554.146	167.824	Cash	0.0	0.36	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
43	0	85.765	166.422	109.565	175.937	Media	0.0	0.38	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
44	0	113.02	166.422	156.526	175.937	Strategies	0.0	0.44	0.0	0.0	0.0	352	10	0.0	0.0	0.0	0
45	0	159.716	166.422	210.019	175.937	&Research	0.0	0.35	0.0	0.0	0.0	545	9	0.0	0.0	0.0	0
46	0	404.852	174.291	429.637	180.708	Station	0.0	0.45	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
47	0	457.182	173.616	486.411	180.424	Account	0.0	0.45	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
48	0	489.552	173.616	523.899	180.424	Executive	0.0	0.4	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
49	0	536.243	173.616	578.989	180.424	SalesOffice	0.0	0.43	0.0	0.0	0.0	6744	11	0.0	0.0	0.0	0
50	0	85.457	178.142	126.957	186.062	Attention:	0.0	0.37	0.0	0.0	0.0	393	10	0.0	0.0	0.0	0
51	0	130.745	178.142	159.25	186.062	Rachel	0.0	0.36	0.0	0.0	0.0	533	6	0.0	0.0	0.0	0
52	0	163.146	178.142	186.939	186.062	Beale	0.0	0.29	0.0	0.0	0.0	3135	5	0.0	0.0	0.0	0
53	0	85.514	188.582	110.024	196.502	11350	0.0	0.26	0.0	0.0	0.62	0	5	1.0	1.0	9.337061	0
54	0	113.467	188.582	148.426	196.502	Random	0.0	0.26	0.0	0.0	0.0	1217	6	0.0	0.0	0.0	0
55	0	152.346	188.582	170.089	196.502	Hills	0.0	0.26	0.0	0.0	0.0	902	5	0.0	0.0	0.0	0
56	0	174.306	188.582	195.944	196.502	Road	0.0	0.25	0.0	0.0	0.0	438	4	0.0	0.0	0.0	0
57	0	404.319	186.674	428.138	193.384	WJBK	0.0	0.29	0.0	0.0	0.0	896	4	0.0	0.0	0.0	0
58	0	457.522	184.867	500.786	192.902	MattJoseph	0.0	0.31	0.0	0.0	0.0	11712	10	0.0	0.0	0.0	0
59	0	536.362	185.496	580.823	192.304	Detroit-Local	0.0	0.31	0.0	0.0	0.0	7951	13	0.0	0.0	0.0	0
60	0	85.3	200.0	106.827	207.15	Suite	0.0	0.31	0.0	0.0	0.0	140	5	0.0	0.0	0.0	0
61	0	109.993	200.0	124.134	207.15	670	0.0	0.29	0.0	0.0	0.57	0	3	1.0	1.0	6.508769	0
62	0	404.846	198.456	431.451	205.71	Special	0.0	0.3	0.0	0.0	0.0	104	7	0.0	0.0	0.0	0
63	0	434.481	198.456	465.549	205.71	Handling	0.0	0.3	0.0	0.0	0.0	116	8	0.0	0.0	0.0	0
64	0	85.743	208.851	116.525	217.981	Fairfax,	0.0	0.3	0.0	0.0	0.0	776	8	0.0	0.0	0.0	0
65	0	137.477	208.851	185.335	217.981	220307428	0.0	0.26	0.0	0.0	0.5	0	9	1.0	1.0	19.210535	0
66	0	405.318	223.296	453.734	230.55	Demographic	0.0	0.26	0.0	0.0	0.0	40	11	0.0	0.0	0.0	0
67	0	404.622	235.896	443.731	242.704	Adults35+	0.0	0.23	0.0	0.0	0.0	192	9	0.22222222	0.0	0.0	0
