	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	537.602	17.963	556.282	26.899	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
1	0	293.445	24.283	359.237	42.155	INVOICE	0.0	0.22	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
2	0	119.999	54.193	146.119	65.363	Local	0.0	0.22	0.0	0.0	0.0	286	5	0.0	0.0	0.0	0
3	0	162.799	54.193	210.009	65.363	WKRC-TV	0.0	0.23	0.0	0.0	0.0	6078	7	0.0	0.0	0.0	0
4	0	119.999	66.193	142.239	77.363	1906	0.0	0.23	0.0	0.0	0.4	0	4	1.0	1.0	7.5532866	0
5	0	145.019	66.193	187.799	77.363	Highland	0.0	0.26	0.0	0.0	0.0	5113	8	0.0	0.0	0.0	0
6	0	190.579	66.193	208.919	77.363	Ave	0.0	0.26	0.0	0.0	0.0	198	3	0.0	0.0	0.0	0
7	0	309.002	66.713	334.346	75.649	Invoice	0.0	0.28	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
8	0	385.501	66.713	410.845	75.649	Invoice	0.0	0.28	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
9	0	413.069	66.713	429.965	75.649	Date	0.0	0.26	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
10	0	435.75	66.713	461.094	75.649	Invoice	0.0	0.26	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
11	0	463.318	66.713	485.55	75.649	Month	0.0	0.25	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
12	0	507.751	66.713	533.095	75.649	Invoice	0.0	0.25	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
13	0	535.319	66.713	558.439	75.649	Period	0.0	0.3	0.0	0.0	0.0	107	6	0.0	0.0	0.0	0
14	0	119.999	78.193	171.119	89.363	Cincinnati,	0.0	0.26	0.0	0.0	0.0	3197	11	0.0	0.0	0.0	0
15	0	194.459	78.193	222.259	89.363	45219	0.0	0.22	0.0	0.0	0.62	0	5	1.0	1.0	10.719295	0
16	0	309.002	78.953	338.354	87.889	56978-1	0.0	0.17	0.0	0.0	0.0	0	7	0.85714287	0.0	0.0	0
17	0	385.501	78.953	416.637	87.889	09/30/12	0.0	0.16	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
18	0	435.75	78.953	477.094	87.889	September	0.0	0.2	0.0	0.0	0.0	257	9	0.0	0.0	0.0	0
19	0	479.318	78.953	497.11	87.889	2012	0.0	0.18	0.0	0.0	0.67	0	4	1.0	1.0	7.6073813	0
20	0	507.751	78.953	538.887	87.889	08/27/12	0.0	0.14	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
21	0	545.999	78.953	577.135	87.889	09/24/12	0.0	0.12	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
22	0	119.999	90.193	146.109	101.363	Main:	0.0	0.17	0.0	0.0	0.0	504	5	0.0	0.0	0.0	0
23	0	154.449	90.193	177.789	101.363	(513)	0.0	0.17	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
24	0	180.569	90.193	222.819	101.363	763-5408	0.0	0.17	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
25	0	119.999	102.193	153.889	113.363	Billing:	0.0	0.2	0.0	0.0	0.0	11	8	0.0	0.0	0.0	0
26	0	156.669	102.193	180.009	113.363	(513)	0.0	0.2	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
27	0	182.789	102.193	225.039	113.363	763-5500	0.0	0.2	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
28	0	309.002	100.463	333.906	109.399	Station	0.0	0.23	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
29	0	370.5	100.463	399.404	109.399	Account	0.0	0.25	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
30	0	401.628	100.463	436.308	109.399	Executive	0.0	0.3	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
31	0	478.5	100.463	498.508	109.399	Sales	0.0	0.42	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
32	0	500.732	100.463	521.628	109.399	Office	0.0	0.42	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
33	0	538.501	100.463	558.509	109.399	Sales	0.0	0.42	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
34	0	560.733	100.463	586.077	109.399	Region	0.0	0.42	0.0	0.0	0.0	69	6	0.0	0.0	0.0	0
35	0	309.002	112.703	346.77	121.639	WKRC-TV	0.0	0.33	0.0	0.0	0.0	6078	7	0.0	0.0	0.0	0
36	0	370.5	112.463	408.724	121.399	Millennium	0.0	0.34	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
37	0	410.948	112.463	453.188	121.399	Washington	0.0	0.34	0.0	0.0	0.0	97	10	0.0	0.0	0.0	0
38	0	478.5	112.463	516.724	121.399	Millennium	0.0	0.26	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
39	0	540.0	112.463	569.344	121.399	National	0.0	0.26	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
40	0	18.0	126.067	69.032	135.123	www.local12.com	0.0	0.26	0.0	0.0	0.0	6079	15	0.13333334	0.0	0.0	0
41	0	279.751	134.213	315.759	143.149	Advertiser	0.0	0.32	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
42	0	414.0	134.213	441.568	143.149	Product	0.0	0.32	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
43	0	516.002	134.213	547.122	143.149	Estimate	0.0	0.33	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
44	0	549.346	134.213	577.794	143.149	Number	0.0	0.45	0.0	0.0	0.0	625	6	0.0	0.0	0.0	0
45	0	18.0	146.963	39.336	155.899	Billing	0.0	0.62	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
46	0	41.56	146.963	73.128	155.899	Address:	0.0	0.73	0.0	0.0	0.0	417	8	0.0	0.0	0.0	advertiser
47	0	279.751	146.453	310.423	155.389	Sherrod	0.0	0.73	0.0	0.0	0.0	1944	7	0.0	0.0	0.0	advertiser
48	0	312.647	146.453	337.535	155.389	Brown	0.0	0.73	0.0	0.0	0.0	937	5	0.0	0.0	0.0	advertiser
49	0	339.759	146.453	350.423	155.389	for	0.0	0.68	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
50	0	352.647	146.453	378.879	155.389	Senate	0.0	0.57	0.0	0.0	0.0	249	6	0.0	0.0	0.0	0
51	0	414.0	146.453	445.104	155.389	BROWN	0.0	0.57	0.0	0.0	0.0	937	5	0.0	0.0	0.0	0
52	0	454.0	146.453	486.448	155.389	SENATE	0.0	0.41	0.0	0.0	0.0	249	6	0.0	0.0	0.0	0
53	0	385.501	163.463	405.061	172.399	Flight	0.0	0.38	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
54	0	407.285	163.463	428.181	172.399	Dates	0.0	0.38	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
55	0	471.6	163.463	492.048	172.399	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
56	0	534.96	163.463	544.296	172.399	Alt	0.0	0.4	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
57	0	546.52	163.463	566.968	172.399	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
58	0	91.5	169.758	115.503	179.811	Shorr	0.0	0.38	0.0	0.0	0.0	805	5	0.0	0.0	0.0	0
59	0	118.005	169.758	155.508	179.811	Johnson	0.0	0.31	0.0	0.0	0.0	619	7	0.0	0.0	0.0	0
60	0	158.01	169.758	192.012	179.811	Magnus	0.0	0.26	0.0	0.0	0.0	936	6	0.0	0.0	0.0	0
61	0	385.501	175.703	416.637	184.639	09/18/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
62	0	423.749	175.703	454.885	184.639	09/24/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
63	0	471.6	175.463	493.84	184.399	56978	0.0	0.18	0.0	0.0	0.5	0	5	1.0	1.0	10.9504385	0
64	0	534.96	175.463	570.544	184.399	09820492	0.0	0.21	0.0	0.0	0.56	0	8	1.0	1.0	16.099981	0
65	0	91.5	180.258	133.989	190.311	Attention:	0.0	0.26	0.0	0.0	0.0	393	10	0.0	0.0	0.0	0
66	0	136.491	180.258	177.495	190.311	Accounts	0.0	0.17	0.0	0.0	0.0	602	8	0.0	0.0	0.0	0
67	0	179.997	180.258	214.017	190.311	Payable	0.0	0.2	0.0	0.0	0.0	515	7	0.0	0.0	0.0	0
68	0	91.5	190.758	111.516	200.811	1831	0.0	0.22	0.0	0.0	0.53	0	4	1.0	1.0	7.5131636	0
69	0	114.018	190.758	153.015	200.811	Chestnut	0.0	0.24	0.0	0.0	0.0	827	8	0.0	0.0	0.0	0
70	0	155.517	190.758	181.023	200.811	Street	0.0	0.33	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
71	0	385.441	193.463	406.777	202.399	Billing	0.0	0.33	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
72	0	409.001	193.463	441.457	202.399	Calendar	0.0	0.33	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
73	0	471.6	193.463	492.936	202.399	Billing	0.0	0.33	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
74	0	495.16	193.463	512.944	202.399	Type	0.0	0.23	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
75	0	534.96	193.463	551.408	202.399	Deal	0.0	0.23	0.0	0.0	0.0	284	4	0.0	0.0	0.0	0
76	0	91.5	201.258	111.516	211.311	#602	0.0	0.21	0.0	0.0	0.0	0	4	0.75	0.0	0.0	0
77	0	385.501	205.463	421.517	214.399	Broadcast	0.0	0.21	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
78	0	471.75	205.463	490.422	214.399	Cash	0.0	0.18	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
79	0	91.5	211.758	147.021	221.811	Philadelphia,	0.0	0.18	0.0	0.0	0.0	217	13	0.0	0.0	0.0	0
80	0	167.028	211.758	192.048	221.811	19103	0.0	0.2	0.0	0.0	0.38	0	5	1.0	1.0	9.857653	0
81	0	385.501	221.963	411.733	230.899	Special	0.0	0.26	0.0	0.0	0.0	104	7	0.0	0.0	0.0	0
82	0	413.957	221.963	445.525	230.899	Handling	0.0	0.3	0.0	0.0	0.0	116	8	0.0	0.0	0.0	0
83	0	18.0	245.963	36.68	254.899	Send	0.0	0.32	0.0	0.0	0.0	815	4	0.0	0.0	0.0	0
84	0	38.904	245.963	70.472	254.899	Payment	0.0	0.32	0.0	0.0	0.0	118	7	0.0	0.0	0.0	0
85	0	72.696	245.963	84.256	254.899	To:	0.0	0.32	0.0	0.0	0.0	66	3	0.0	0.0	0.0	0
86	0	385.2	250.463	398.536	259.399	IDB	0.0	0.36	0.0	0.0	0.0	171	3	0.0	0.0	0.0	0
87	0	471.75	250.463	507.758	259.399	Advertiser	0.0	0.36	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
88	0	509.982	250.463	529.102	259.399	Code	0.0	0.36	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
89	0	534.751	250.463	562.319	259.399	Product	0.0	0.3	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
90	0	564.543	250.463	583.663	259.399	Code	0.0	0.3	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
91	0	24.001	258.193	50.121	269.363	Local	0.0	0.24	0.0	0.0	0.0	286	5	0.0	0.0	0.0	0
