	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	537.602	17.963	556.282	26.899	Page	0.0	0.12	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
1	0	293.445	24.283	359.237	42.155	INVOICE	0.0	0.29	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
2	0	119.999	54.193	146.119	65.363	Local	0.0	0.29	0.0	0.0	0.0	286	5	0.0	0.0	0.0	0
3	0	162.799	54.193	210.009	65.363	WKRC-TV	0.0	0.29	0.0	0.0	0.0	6078	7	0.0	0.0	0.0	0
4	0	119.999	66.193	142.239	77.363	1906	0.0	0.24	0.0	0.0	0.67	0	4	1.0	1.0	7.5532866	0
5	0	145.019	66.193	187.799	77.363	Highland	0.0	0.26	0.0	0.0	0.0	5113	8	0.0	0.0	0.0	0
6	0	190.579	66.193	208.919	77.363	Ave	0.0	0.31	0.0	0.0	0.0	198	3	0.0	0.0	0.0	0
7	0	309.002	66.713	334.346	75.649	Invoice	0.0	0.31	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
8	0	385.501	66.713	410.845	75.649	Invoice	0.0	0.36	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
9	0	413.069	66.713	429.965	75.649	Date	0.0	0.36	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
10	0	435.75	66.713	461.094	75.649	Invoice	0.0	0.36	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
11	0	463.318	66.713	485.55	75.649	Month	0.0	0.32	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
12	0	507.751	66.713	533.095	75.649	Invoice	0.0	0.38	0.0	0.0	0.0	362	7	0.0	0.0	0.0	0
13	0	535.319	66.713	558.439	75.649	Period	0.0	0.39	0.0	0.0	0.0	107	6	0.0	0.0	0.0	0
14	0	119.999	78.193	171.119	89.363	Cincinnati,	0.0	0.4	0.0	0.0	0.0	3197	11	0.0	0.0	0.0	0
15	0	194.459	78.193	222.259	89.363	45219	0.0	0.36	0.0	0.0	0.5	0	5	1.0	1.0	10.719295	0
16	0	309.002	78.953	338.354	87.889	61166-1	0.0	0.31	0.0	0.0	0.0	0	7	0.85714287	0.0	0.0	0
17	0	385.501	78.953	416.637	87.889	09/30/12	0.0	0.23	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
18	0	435.75	78.953	477.094	87.889	September	0.0	0.28	0.0	0.0	0.0	257	9	0.0	0.0	0.0	0
19	0	479.318	78.953	497.11	87.889	2012	0.0	0.25	0.0	0.0	0.53	0	4	1.0	1.0	7.6073813	0
20	0	507.751	78.953	538.887	87.889	08/27/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
21	0	545.999	78.953	577.135	87.889	09/30/12	0.0	0.1	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
22	0	119.999	90.193	146.109	101.363	Main:	0.0	0.15	0.0	0.0	0.0	504	5	0.0	0.0	0.0	0
23	0	154.449	90.193	177.789	101.363	(513)	0.0	0.17	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
24	0	180.569	90.193	222.819	101.363	763-5408	0.0	0.19	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
25	0	119.999	102.193	153.889	113.363	Billing:	0.0	0.33	0.0	0.0	0.0	11	8	0.0	0.0	0.0	0
26	0	156.669	102.193	180.009	113.363	(513)	0.0	0.33	0.0	0.0	0.0	0	5	0.6	0.0	0.0	0
27	0	182.789	102.193	225.039	113.363	763-5500	0.0	0.38	0.0	0.0	0.0	0	8	0.875	0.0	0.0	0
28	0	309.002	100.463	333.906	109.399	Station	0.0	0.44	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
29	0	370.5	100.463	399.404	109.399	Account	0.0	0.44	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
30	0	401.628	100.463	436.308	109.399	Executive	0.0	0.44	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
31	0	478.5	100.463	498.508	109.399	Sales	0.0	0.4	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
32	0	500.732	100.463	521.628	109.399	Office	0.0	0.31	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
33	0	538.501	100.463	558.509	109.399	Sales	0.0	0.33	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
34	0	560.733	100.463	586.077	109.399	Region	0.0	0.36	0.0	0.0	0.0	69	6	0.0	0.0	0.0	0
35	0	309.002	112.703	346.77	121.639	WKRC-TV	0.0	0.36	0.0	0.0	0.0	6078	7	0.0	0.0	0.0	0
36	0	370.5	112.463	408.724	121.399	Millennium	0.0	0.37	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
37	0	410.948	112.463	453.188	121.399	Washington	0.0	0.37	0.0	0.0	0.0	97	10	0.0	0.0	0.0	0
38	0	478.5	112.463	516.724	121.399	Millennium	0.0	0.44	0.0	0.0	0.0	442	10	0.0	0.0	0.0	0
39	0	540.0	112.463	569.344	121.399	National	0.0	0.46	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
40	0	18.0	126.067	69.032	135.123	www.local12.com	0.0	0.44	0.0	0.0	0.0	6079	15	0.13333334	0.0	0.0	0
41	0	279.751	134.213	315.759	143.149	Advertiser	0.0	0.43	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
42	0	414.0	134.213	441.568	143.149	Product	0.0	0.39	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
43	0	516.002	134.213	547.122	143.149	Estimate	0.0	0.34	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
44	0	549.346	134.213	577.794	143.149	Number	0.0	0.34	0.0	0.0	0.0	625	6	0.0	0.0	0.0	0
45	0	18.0	146.963	39.336	155.899	Billing	0.0	0.6	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
46	0	41.56	146.963	73.128	155.899	Address:	0.0	0.87	0.0	0.0	0.0	417	8	0.0	0.0	0.0	0
47	0	279.751	146.453	322.871	155.389	Republican	0.0	1.0	0.0	0.0	0.0	483	10	0.0	0.0	0.0	advertiser
48	0	325.095	146.453	356.655	155.389	National	0.0	1.0	0.0	0.0	0.0	213	8	0.0	0.0	0.0	advertiser
49	0	358.879	146.453	400.215	155.389	Committee	0.0	1.0	0.0	0.0	0.0	500	9	0.0	0.0	0.0	advertiser
50	0	414.0	146.453	431.328	155.389	RNC	0.0	0.95	0.0	0.0	0.0	1719	3	0.0	0.0	0.0	0
51	0	516.002	146.453	533.794	155.389	3275	0.0	0.67	0.0	0.0	0.4	0	4	1.0	1.0	8.094378	0
52	0	385.501	163.463	405.061	172.399	Flight	0.0	0.37	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
53	0	407.285	163.463	428.181	172.399	Dates	0.0	0.29	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
54	0	471.6	163.463	492.048	172.399	Order	0.0	0.29	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
55	0	534.96	163.463	544.296	172.399	Alt	0.0	0.45	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
56	0	546.52	163.463	566.968	172.399	Order	0.0	0.52	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
57	0	91.5	169.758	127.005	179.811	National	0.0	0.55	0.0	0.0	0.0	213	8	0.0	0.0	0.0	0
58	0	129.507	169.758	155.013	179.811	Media	0.0	0.55	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
59	0	157.515	169.758	181.023	179.811	Team	0.0	0.55	0.0	0.0	0.0	2386	4	0.0	0.0	0.0	0
60	0	385.501	175.703	416.637	184.639	09/28/12	0.0	0.46	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
61	0	423.749	175.703	454.885	184.639	10/05/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
62	0	471.6	175.463	493.84	184.399	61166	0.0	0.34	0.0	0.0	0.62	0	5	1.0	1.0	11.021363	0
63	0	534.96	175.463	570.544	184.399	09831011	0.0	0.38	0.0	0.0	0.56	0	8	1.0	1.0	16.101053	0
64	0	91.5	180.258	133.989	190.311	Attention:	0.0	0.44	0.0	0.0	0.0	393	10	0.0	0.0	0.0	0
65	0	136.491	180.258	177.495	190.311	Accounts	0.0	0.44	0.0	0.0	0.0	602	8	0.0	0.0	0.0	0
66	0	179.997	180.258	214.017	190.311	Payable	0.0	0.42	0.0	0.0	0.0	515	7	0.0	0.0	0.0	0
67	0	91.5	190.758	106.512	200.811	815	0.0	0.4	0.0	0.0	0.57	0	3	1.0	1.0	6.7044144	0
68	0	109.014	190.758	139.029	200.811	Slaters	0.0	0.34	0.0	0.0	0.0	541	7	0.0	0.0	0.0	0
69	0	141.531	190.758	162.537	200.811	Lane	0.0	0.35	0.0	0.0	0.0	470	4	0.0	0.0	0.0	0
70	0	385.441	193.463	406.777	202.399	Billing	0.0	0.35	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
71	0	409.001	193.463	441.457	202.399	Calendar	0.0	0.35	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
72	0	471.6	193.463	492.936	202.399	Billing	0.0	0.34	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
73	0	495.16	193.463	512.944	202.399	Type	0.0	0.34	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
74	0	534.96	193.463	551.408	202.399	Deal	0.0	0.33	0.0	0.0	0.0	284	4	0.0	0.0	0.0	0
75	0	91.5	201.258	140.019	211.311	Alexandria,	0.0	0.27	0.0	0.0	0.0	220	11	0.0	0.0	0.0	0
76	0	160.026	201.258	185.046	211.311	22314	0.0	0.27	0.0	0.0	0.5	0	5	1.0	1.0	10.013015	0
77	0	385.501	205.463	421.517	214.399	Broadcast	0.0	0.3	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
78	0	471.75	205.463	490.422	214.399	Cash	0.0	0.3	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
79	0	385.501	221.963	411.733	230.899	Special	0.0	0.3	0.0	0.0	0.0	104	7	0.0	0.0	0.0	0
80	0	413.957	221.963	445.525	230.899	Handling	0.0	0.24	0.0	0.0	0.0	116	8	0.0	0.0	0.0	0
81	0	18.0	245.963	36.68	254.899	Send	0.0	0.29	0.0	0.0	0.0	815	4	0.0	0.0	0.0	0
82	0	38.904	245.963	70.472	254.899	Payment	0.0	0.29	0.0	0.0	0.0	118	7	0.0	0.0	0.0	0
83	0	72.696	245.963	84.256	254.899	To:	0.0	0.29	0.0	0.0	0.0	66	3	0.0	0.0	0.0	0
84	0	385.2	250.463	398.536	259.399	IDB	0.0	0.27	0.0	0.0	0.0	171	3	0.0	0.0	0.0	0
85	0	471.75	250.463	507.758	259.399	Advertiser	0.0	0.35	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
86	0	509.982	250.463	529.102	259.399	Code	0.0	0.38	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
87	0	534.751	250.463	562.319	259.399	Product	0.0	0.38	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
88	0	564.543	250.463	583.663	259.399	Code	0.0	0.38	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
89	0	24.001	258.193	50.121	269.363	Local	0.0	0.3	0.0	0.0	0.0	286	5	0.0	0.0	0.0	0
90	0	66.801	258.193	114.011	269.363	WKRC-TV	0.0	0.22	0.0	0.0	0.0	6078	7	0.0	0.0	0.0	0
91	0	534.96	262.463	548.304	271.399	445	0.0	0.36	0.0	0.0	0.43	0	3	1.0	1.0	6.100319	0
92	0	24.001	270.193	64.001	281.363	Newport	0.0	0.41	0.0	0.0	0.0	4230	7	0.0	0.0	0.0	0
93	0	66.781	270.193	115.691	281.363	Television	0.0	0.43	0.0	0.0	0.0	323	10	0.0	0.0	0.0	0
94	0	118.471	270.193	137.911	281.363	LLC	0.0	0.43	0.0	0.0	0.0	317	3	0.0	0.0	0.0	0
95	0	41.231	282.193	60.121	293.363	Box	0.0	0.4	0.0	0.0	0.0	392	3	0.0	0.0	0.0	0
96	0	62.901	282.193	96.261	293.363	841646	0.0	0.23	0.0	0.0	0.47	0	6	1.0	1.0	13.643116	0
97	0	384.602	280.463	411.282	289.399	Agency	0.0	0.29	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
98	0	413.506	280.463	425.954	289.399	Ref	0.0	0.33	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
99	0	471.002	280.463	507.01	289.399	Advertiser	0.0	0.33	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
100	0	509.234	280.463	521.682	289.399	Ref	0.0	0.33	0.0	0.0	0.0	63	3	0.0	0.0	0.0	0
101	0	24.001	294.193	56.241	305.363	Dallas,	0.0	0.28	0.0	0.0	0.0	996	7	0.0	0.0	0.0	0
102	0	77.361	294.193	130.731	305.363	75284-1646	0.0	0.21	0.0	0.0	0.0	0	10	0.9	0.0	0.0	0
103	0	413.252	332.213	435.932	341.149	Spots/	0.0	0.3	0.0	0.0	0.0	4	6	0.0	0.0	0.0	0
104	0	18.0	344.213	33.12	353.149	Line	0.0	0.33	0.0	0.0	0.0	89	4	0.0	0.0	0.0	0
105	0	41.25	344.213	58.146	353.149	Start	0.0	0.33	0.0	0.0	0.0	26	5	0.0	0.0	0.0	0
106	0	60.37	344.213	77.266	353.149	Date	0.0	0.33	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
107	0	88.501	344.213	102.733	353.149	End	0.0	0.33	0.0	0.0	0.0	28	3	0.0	0.0	0.0	0
108	0	104.957	344.213	121.853	353.149	Date	0.0	0.35	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
109	0	137.251	344.213	177.259	353.149	Description	0.0	0.38	0.0	0.0	0.0	62	11	0.0	0.0	0.0	0
110	0	229.502	344.213	262.854	353.149	Start/End	0.0	0.38	0.0	0.0	0.0	35	9	0.0	0.0	0.0	0
111	0	265.078	344.213	282.854	353.149	Time	0.0	0.38	0.0	0.0	0.0	22	4	0.0	0.0	0.0	0
112	0	305.252	345.801	339.02	353.801	MTWTFSS	0.0	0.38	0.0	0.0	0.0	453	7	0.0	0.0	0.0	0
113	0	376.501	344.213	400.965	353.149	Length	0.0	0.27	0.0	0.0	0.0	56	6	0.0	0.0	0.0	0
114	0	413.252	344.213	433.7	353.149	Week	0.0	0.27	0.0	0.0	0.0	29	4	0.0	0.0	0.0	0
115	0	465.752	344.213	482.648	353.149	Rate	0.0	0.29	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
116	0	502.501	344.213	520.285	353.149	Type	0.0	0.29	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
117	0	41.25	360.713	72.386	369.649	09/29/12	0.0	0.22	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
118	0	88.501	360.713	119.637	369.649	09/29/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
119	0	137.251	360.713	157.707	369.649	6a-8a	0.0	0.23	0.0	0.0	0.0	84	5	0.4	0.0	0.0	0
120	0	159.931	360.713	179.051	369.649	Local	0.0	0.27	0.0	0.0	0.0	286	5	0.0	0.0	0.0	0
