	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	17.963	48.232	26.899	Contract	0.0	0.42	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	17.963	89.584	26.899	Agreement	0.0	0.42	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	17.963	125.16	26.899	Between:	0.0	0.36	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	17.963	445.72	26.899	Print	0.0	0.48	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	17.963	464.84	26.899	Date	0.0	0.48	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	17.963	505.137	26.899	09/21/12	0.0	0.38	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	17.963	551.931	26.899	Page	0.0	0.38	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	27.283	350.94	45.155	CONTRACT	0.0	0.33	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	54.193	148.329	65.363	KSDK	0.0	0.32	0.0	0.0	0.0	3293	4	0.0	0.0	0.0	0
9	0	406.681	53.213	436.913	62.149	Contract	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	53.213	474.257	62.149	Revision	0.0	0.36	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	53.213	505.178	62.149	Alt	0.0	0.42	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	53.213	527.85	62.149	Order	0.0	0.42	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	66.193	142.239	77.363	1000	0.0	0.38	0.0	0.0	0.73	0	4	1.0	1.0	6.908755	0
14	0	145.019	66.193	177.249	77.363	Market	0.0	0.43	0.0	0.0	0.0	121	6	0.0	0.0	0.0	0
15	0	180.029	66.193	208.369	77.363	Street	0.0	0.43	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
16	0	417.001	65.213	443.689	74.149	711195	0.0	0.35	0.0	0.0	0.46	0	6	1.0	1.0	13.474704	0
17	0	495.842	65.213	531.426	74.149	06301481	0.0	0.12	0.0	0.0	0.57	0	8	1.0	1.0	15.656296	0
18	0	119.999	78.193	132.779	89.363	St.	0.0	0.16	0.0	0.0	0.0	244	3	0.0	0.0	0.0	0
19	0	135.559	78.193	165.009	89.363	Louis,	0.0	0.17	0.0	0.0	0.0	3817	6	0.0	0.0	0.0	0
20	0	189.459	78.193	217.259	89.363	63101	0.0	0.26	0.0	0.0	0.67	0	5	1.0	1.0	11.052507	0
21	0	309.002	78.713	336.57	87.649	Product	0.0	0.4	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
22	0	119.999	90.193	185.589	101.363	(314)421-5055	0.0	0.62	0.0	0.0	0.0	0	13	0.7692308	0.0	0.0	0
23	0	307.5	90.953	338.604	99.889	MARTIN	0.0	1.0	0.0	0.0	0.0	2339	6	0.0	0.0	0.0	advertiser
24	0	340.828	90.953	357.716	99.889	FOR	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
25	0	359.94	90.953	380.828	99.889	ATTY	0.0	1.0	0.0	0.0	0.0	6914	4	0.0	0.0	0.0	advertiser
26	0	383.052	90.953	400.388	99.889	GEN	0.0	1.0	0.0	0.0	0.0	203	3	0.0	0.0	0.0	advertiser
27	0	308.251	103.463	338.483	112.399	Contract	0.0	0.59	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
28	0	340.707	103.463	361.603	112.399	Dates	0.0	0.41	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
29	0	407.251	103.463	438.371	112.399	Estimate	0.0	0.33	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
30	0	18.0	114.067	61.736	123.123	www.ksdk.com	0.0	0.22	0.0	0.0	0.0	5467	12	0.0	0.0	0.0	0
31	0	308.251	115.703	339.387	124.639	09/24/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
32	0	346.499	115.703	377.635	124.639	10/01/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
33	0	407.251	115.703	435.267	124.639	924C01	0.0	0.41	0.0	0.0	0.0	214	6	0.8333333	0.0	0.0	0
34	0	309.002	128.213	345.01	137.149	Advertiser	0.0	0.47	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
