	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	220.56	16.201	263.809	28.917	Contract	0.0	0.22	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	287.04	15.743	326.052	30.771	32tl23	0.0	0.24	0.0	0.0	0.0	3772	6	0.6666667	0.0	0.0	0
2	0	444.96	19.746	455.964	26.682	Dab	0.0	0.32	0.0	0.0	0.0	13563	3	0.0	0.0	0.0	0
3	0	459.6	19.746	480.276	26.682	Entercd	0.0	0.32	0.0	0.0	0.0	5342	7	0.0	0.0	0.0	0
4	0	501.12	18.579	536.493	28.983	07lr0l12	0.0	0.32	0.0	0.0	0.0	5511	8	0.625	0.0	0.0	0
5	0	605.76	18.328	640.136	27.576	Charlotte	0.0	0.32	0.0	0.0	0.0	674	9	0.0	0.0	0.0	0
6	0	640.8	17.608	672.216	26.856	(WSOC)	0.0	0.24	0.0	0.0	0.0	2648	6	0.0	0.0	0.0	0
7	0	220.56	31.495	241.405	37.275	Schedule	0.0	0.24	0.0	0.0	0.0	387	8	0.0	0.0	0.0	0
8	0	247.2	31.495	257.76	37.275	Dat6	0.0	0.29	0.0	0.0	0.0	3556	4	0.25	0.0	0.0	0
9	0	287.04	30.328	346.888	39.576	r0lrs/L2-r0l2rl12	0.0	0.26	0.0	0.0	0.0	24677	17	0.3529412	0.0	0.0	0
10	0	444.96	31.266	454.296	38.202	last	0.0	0.36	0.0	0.0	0.0	330	4	0.0	0.0	0.0	0
11	0	458.16	31.266	480.834	38.202	Modified	0.0	0.36	0.0	0.0	0.0	645	8	0.0	0.0	0.0	0
12	0	501.12	30.099	539.826	40.503	0810z/72	0.0	0.27	0.0	0.0	0.0	1345	8	0.75	0.0	0.0	0
13	0	615.84	27.688	654.904	36.936	BroadcasMt	0.0	0.2	0.0	0.0	0.0	5163	10	0.0	0.0	0.0	0
14	0	655.144	27.688	671.432	36.936	onth	0.0	0.27	0.0	0.0	0.0	3924	4	0.0	0.0	0.0	0
15	0	676.56	28.157	694.459	36.249	Spots	0.0	0.33	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
16	0	745.68	28.866	758.352	35.802	Rate	0.0	0.33	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
17	0	110.88	41.15	159.54	52.71	WSOC-TV	0.0	0.33	0.0	0.0	0.0	3355	7	0.0	0.0	0.0	0
18	0	220.32	42.066	247.326	49.002	Advertiser	0.0	0.37	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
19	0	286.8	41.368	311.224	50.856	Pol/PM	0.0	0.48	0.0	0.0	0.0	8940	6	0.0	0.0	0.0	0
20	0	311.464	40.888	376.84	50.856	cCrory/VGov/N(1C6	0.0	0.48	0.0	0.0	0.0	10249	17	0.11764706	0.0	0.0	0
21	0	377.08	40.888	387.728	50.856	611	0.0	0.44	0.0	0.0	0.43	0	3	1.0	1.0	6.4167323	0
22	0	444.96	43.026	464.64	49.962	EnteEd	0.0	0.32	0.0	0.0	0.0	8823	6	0.0	0.0	0.0	0
23	0	500.64	40.888	516.496	50.136	JillH	0.0	0.17	0.0	0.0	0.0	5164	5	0.0	0.0	0.0	0
24	0	516.976	40.888	544.752	50.136	ipskind	0.0	0.19	0.0	0.0	0.0	5339	7	0.0	0.0	0.0	0
25	0	605.76	37.768	621.152	47.016	Oct.	0.0	0.19	0.0	0.0	0.0	464	4	0.0	0.0	0.0	0
26	0	622.8	37.528	641.312	46.776	2012	0.0	0.16	0.0	0.0	0.67	0	4	1.0	1.0	7.6073813	0
27	0	722.16	38.728	766.512	47.976	$70,920.00	0.0	0.17	0.0	0.0	1.0	0	10	0.7	1.0	11.169322	gross_amount
28	0	111.36	50.51	137.06	62.07	1901N	0.0	0.24	0.0	0.0	0.0	51	5	0.8	0.0	0.0	0
