	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	223.681	20.232	277.554	29.893	(cid:1)(cid:2)(cid:5)(cid:6)(cid:11)(cid:14)(cid:20)(cid:6)(cid:12)(cid:21)	0.0	0.06	0.0	0.0	0.0	2116	75	0.2	0.0	0.0	0
1	0	289.681	20.487	332.129	31.196	)*+,)-	0.0	0.05	0.0	0.0	0.0	0	6	0.0	0.0	0.0	0
2	0	447.961	22.396	483.768	27.634	(cid:24)(cid:14)(cid:6)(cid:4)(cid:12)(cid:16)(cid:5)(cid:6)(cid:4)(cid:11)(cid:4)(cid:23)	0.0	0.05	0.0	0.0	0.0	2180	90	0.2	0.0	0.0	0
3	0	503.761	22.729	532.04	29.515	(cid:2)-(cid:3)(cid:1)2(cid:3)(cid:1)(cid:4)	0.0	0.08	0.0	0.0	0.0	2052	44	0.1590909	0.0	0.0	0
4	0	223.681	33.316	265.703	38.554	(cid:17)(cid:20)(cid:22)(cid:4)(cid:23)(cid:9)(cid:18)(cid:4)(cid:12)(cid:24)(cid:14)(cid:6)(cid:4)(cid:7)	0.0	0.04	0.0	0.0	0.0	2202	106	0.20754717	0.0	0.0	0
5	0	289.681	33.649	348.798	40.435	(cid:1)(cid:2)(cid:3)(cid:4)(cid:5)(cid:3)(cid:1)(cid:4)(cid:6)(cid:1)(cid:1)(cid:3)(cid:2)(cid:7)(cid:3)(cid:1)(cid:4)	0.0	0.04	0.0	0.0	0.0	2181	119	0.14285715	0.0	0.0	0
6	0	447.961	33.916	484.482	39.154	(cid:29)(cid:14)(cid:7)(cid:6)(cid:12)(cid:30)(cid:2)(cid:23)(cid:25)(cid:31)(cid:25)(cid:4)(cid:23)	0.0	0.05	0.0	0.0	0.0	2182	100	0.22	0.0	0.0	0
7	0	503.761	34.249	532.04	41.035	(cid:1)(cid:2)(cid:3)(cid:1).(cid:3)(cid:1)(cid:4)	0.0	0.08	0.0	0.0	0.0	2080	50	0.14	0.0	0.0	0
8	0	678.601	31.022	696.514	37.191	(cid:17)(cid:19)(cid:2)(cid:6)(cid:7)	0.0	0.09	0.0	0.0	0.0	2117	37	0.1891892	0.0	0.0	0
9	0	747.121	31.022	761.944	37.191	.(cid:14)(cid:6)(cid:4)	0.0	0.14	0.0	0.0	0.0	2094	23	0.17391305	0.0	0.0	0
10	0	115.441	45.688	138.289	52.492	WCNC	0.0	0.18	0.0	0.0	0.0	1163	4	0.0	0.0	0.0	advertiser
11	0	223.678	44.498	254.86	50.318	(cid:28)(cid:23)((cid:4)(cid:11)(cid:6)(cid:25)(cid:7)(cid:4)(cid:11)	0.0	0.1	0.0	0.0	0.0	2095	69	0.20289855	0.0	0.0	0
12	0	289.682	44.929	319.266	51.715	(cid:8)(cid:26)6,8(cid:31)’)*	0.0	0.1	0.0	0.0	0.0	2094	29	0.2413793	0.0	0.0	0
13	0	323.055	44.929	343.439	51.715	(cid:12)(cid:9)&(cid:30)(cid:26)(cid:28)	0.0	0.09	0.0	0.0	0.0	2117	40	0.225	0.0	0.0	0
14	0	347.293	44.929	389.232	51.715	&(cid:28)(cid:29)(cid:12)(cid:11)(cid:29)(cid:29)&)’*(’&	0.0	0.07	0.0	0.0	0.0	2052	56	0.21428572	0.0	0.0	0
15	0	393.135	44.929	419.81	51.715	(cid:12)!(cid:1)(cid:4)..-$	0.0	0.11	0.0	0.0	0.0	2094	27	0.14814815	0.0	0.0	0
16	0	447.961	45.556	477.712	50.794	(cid:16)(cid:5)(cid:6)(cid:4)(cid:11)(cid:4)(cid:23)(cid:12)(cid:8)(cid:10)	0.0	0.06	0.0	0.0	0.0	2116	75	0.2	0.0	0.0	0
17	0	503.761	44.209	546.652	50.995	(cid:25)(cid:26)(cid:31)’(cid:29)(cid:29)*(cid:12)/(cid:26)(cid:31))3	0.0	0.06	0.0	0.0	0.0	2034	69	0.24637681	0.0	0.0	0
