	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	18.76	61.568	36.632	Order	0.0	0.22	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
1	0	66.016	18.76	133.616	36.632	#213008:	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
2	0	138.064	18.76	210.976	36.632	American	0.0	0.31	0.0	0.0	0.0	258	8	0.0	0.0	0.0	0
3	0	215.424	18.76	467.984	36.632	M../POL/Nation../10/8-10/14../3316	0.0	0.3	0.0	0.0	0.0	28968	34	0.32352942	0.0	0.0	0
4	0	18.72	41.36	36.496	50.296	Spot	0.0	0.3	0.0	0.0	0.0	133	4	0.0	0.0	0.0	0
5	0	38.72	41.36	58.28	50.296	State	0.0	0.3	0.0	0.0	0.0	473	5	0.0	0.0	0.0	0
6	0	80.858	41.36	124.061	50.296	ChanneDlay	0.0	0.29	0.0	0.0	0.0	28969	10	0.0	0.0	0.0	0
7	0	129.183	41.36	175.819	50.296	WeekdaysAir	0.0	0.3	0.0	0.0	0.0	14433	11	0.0	0.0	0.0	0
8	0	178.043	41.36	195.379	50.296	Date	0.0	0.37	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
9	0	219.019	41.36	240.803	50.296	Order	0.0	0.37	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
10	0	243.027	41.36	279.095	50.296	InventorTy	0.0	0.37	0.0	0.0	0.0	28970	10	0.0	0.0	0.0	0
11	0	281.319	41.36	327.491	50.296	mDeesscription	0.0	0.4	0.0	0.0	0.0	28971	14	0.0	0.0	0.0	0
12	0	336.821	41.36	347.933	50.296	Air	0.0	0.4	0.0	0.0	0.0	279	3	0.0	0.0	0.0	0
13	0	350.157	41.36	368.829	50.296	Time	0.0	0.4	0.0	0.0	0.0	22	4	0.0	0.0	0.0	0
14	0	390.26	41.36	411.588	50.296	Ad-ID	0.0	0.4	0.0	0.0	0.0	968	5	0.0	0.0	0.0	0
15	0	465.109	41.36	536.489	50.296	LengthPriorityState	0.0	0.29	0.0	0.0	0.0	14434	19	0.0	0.0	0.0	0
16	0	538.713	41.36	598.159	50.296	ReasMonakegoInotde	0.0	0.32	0.0	0.0	0.0	28972	18	0.0	0.0	0.0	0
17	0	598.159	41.36	613.272	50.296	rInnfaol	0.0	0.4	0.0	0.0	0.0	28973	8	0.0	0.0	0.0	0
18	0	615.055	41.36	632.391	50.296	Rate	0.0	0.43	0.0	0.0	0.0	13	4	0.0	0.0	0.0	advertiser
19	0	634.615	41.36	690.784	50.296	1InvoicedS?pot	0.0	0.43	0.0	0.0	0.0	14435	14	0.071428575	0.0	0.0	advertiser
20	0	693.008	41.36	712.715	50.296	#Rev	0.0	0.27	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
21	0	714.939	41.36	739.78	50.296	CodeR	0.0	0.27	0.0	0.0	0.0	28974	5	0.0	0.0	0.0	0
22	0	737.163	41.36	748.676	50.296	2ev	0.0	0.22	0.0	0.0	0.0	12000	3	0.33333334	0.0	0.0	0
23	0	750.9	41.36	770.9	50.296	Code	0.0	0.22	0.0	0.0	0.0	19	4	0.0	0.0	0.0	0
24	0	18.0	52.872	46.921	63.861	Line#:1	0.0	0.23	0.0	0.0	0.0	89	7	0.14285715	0.0	0.0	0
25	0	32.4	66.672	49.455	77.661	Spot	0.0	0.23	0.0	0.0	0.0	133	4	0.0	0.0	0.0	0
26	0	51.489	66.672	103.526	77.661	Status:Placed	0.0	0.24	0.0	0.0	0.0	11651	13	0.0	0.0	0.0	0
27	0	80.858	79.76	103.97	88.696	WVBT	0.0	0.24	0.0	0.0	0.0	1507	4	0.0	0.0	0.0	0
28	0	129.183	79.76	160.279	88.696	--------Su	0.0	0.23	0.0	0.0	0.0	65	10	0.0	0.0	0.0	0
29	0	185.659	79.76	234.587	88.696	10/14/12Late	0.0	0.34	0.0	0.0	0.0	114	12	0.5	0.0	0.0	0
30	0	236.811	79.76	256.811	88.696	News	0.0	0.39	0.0	0.0	0.0	17	4	0.0	0.0	0.0	0
31	0	259.035	79.76	278.655	88.696	(afteLr	0.0	0.39	0.0	0.0	0.0	28975	7	0.0	0.0	0.0	0
32	0	278.655	79.76	294.163	88.696	aStpeo	0.0	0.42	0.0	0.0	0.0	28976	6	0.0	0.0	0.0	0
33	0	291.999	79.76	311.999	88.696	Nrtesw)s	0.0	0.42	0.0	0.0	0.0	28977	8	0.0	0.0	0.0	0
34	0	314.223	79.76	332.895	88.696	(after	0.0	0.29	0.0	0.0	0.0	573	6	0.0	0.0	0.0	0
35	0	335.119	79.76	373.796	88.696	Sport1s2):06	0.0	0.29	0.0	0.0	0.0	384	12	0.33333334	0.0	0.0	0
36	0	376.02	79.76	449.836	88.696	AMNRATV100612H	0.0	0.18	0.0	0.0	0.0	28978	14	0.42857143	0.0	0.0	0
37	0	477.698	79.76	500.804	88.696	:30P1	0.0	0.18	0.0	0.0	0.0	27	5	0.6	0.0	0.0	0
38	0	603.615	79.76	655.199	88.696	$1,000.00Yes	0.0	0.18	0.0	0.0	0.0	712	12	0.5	0.0	0.0	0
39	0	691.443	79.76	714.051	88.696	1POL	0.0	0.17	0.0	0.0	0.0	103	4	0.25	0.0	0.0	0
40	0	734.004	79.76	765.572	88.696	POL-ISS	0.0	0.19	0.0	0.0	0.0	895	7	0.0	0.0	0.0	0
41	0	603.615	91.4	639.199	100.336	$1,000.00	0.0	0.15	0.0	0.0	0.67	0	9	0.6666667	1.0	6.908755	0
42	0	603.615	103.88	639.199	112.816	$1,000.00	0.0	0.12	0.0	0.0	0.67	0	9	0.6666667	1.0	6.908755	0
