	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.002	25.115	424.45	25.157	Print	0.0	0.25	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.674	25.115	443.57	25.157	Date	0.0	0.25	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	25.115	481.136	25.157	10/22/12	0.0	0.19	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.36	25.115	514.496	25.157	13:25:44	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.002	25.115	552.682	25.157	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	276.69	42.963	334.466	43.052	ORDER	0.0	0.52	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	79.353	44.232	79.397	Orders	0.0	0.41	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.001	79.353	108.785	79.397	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.457	79.353	132.793	79.397	Rev:	0.0	0.32	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	79.353	198.408	79.397	187304	0.0	0.34	0.0	0.0	0.47	0	6	1.0	1.0	12.140493	0
10	0	87.001	94.115	96.337	94.157	Alt	0.0	0.43	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.561	94.115	119.009	94.157	Order	0.0	0.43	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	87.001	109.115	114.569	109.157	Product	0.0	0.46	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
13	0	116.793	109.115	137.241	109.157	Desc:	0.0	0.86	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
14	0	171.751	109.115	197.983	109.157	Obama	0.0	1.0	0.0	0.0	0.0	333	5	0.0	0.0	0.0	advertiser
15	0	200.207	109.115	209.543	109.157	for	0.0	1.0	0.0	0.0	0.0	50	3	0.0	0.0	0.0	advertiser
16	0	211.767	109.115	241.103	109.157	America	0.0	1.0	0.0	0.0	0.0	201	7	0.0	0.0	0.0	advertiser
17	0	87.001	124.115	120.345	124.157	Estimate:	0.0	0.77	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
18	0	171.751	124.115	189.543	124.157	2175	0.0	0.53	0.0	0.0	0.4	0	4	1.0	1.0	7.6852436	0
19	0	191.767	124.115	206.887	124.157	:60s	0.0	0.36	0.0	0.0	0.0	49	4	0.5	0.0	0.0	0
20	0	209.111	124.115	223.343	124.157	Add	0.0	0.29	0.0	0.0	0.0	1051	3	0.0	0.0	0.0	0
21	0	432.0	122.853	456.44	122.897	KMGH	0.0	0.29	0.0	0.0	0.0	1117	4	0.0	0.0	0.0	0
22	0	87.001	139.115	106.561	139.157	Flight	0.0	0.29	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
23	0	108.785	139.115	131.905	139.157	Dates:	0.0	0.24	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
24	0	171.751	139.115	202.887	139.157	10/23/12	0.0	0.15	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
25	0	209.999	139.115	241.135	139.157	10/29/12	0.0	0.32	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
26	0	331.501	139.115	359.053	139.157	Primary	0.0	0.4	0.0	0.0	0.0	80	7	0.0	0.0	0.0	0
27	0	361.277	139.115	374.173	139.157	AE:	0.0	0.4	0.0	0.0	0.0	123	3	0.0	0.0	0.0	0
28	0	432.0	139.115	452.448	139.157	David	0.0	0.4	0.0	0.0	0.0	406	5	0.0	0.0	0.0	0
29	0	454.672	139.115	490.688	139.157	Lombardo	0.0	0.4	0.0	0.0	0.0	505	8	0.0	0.0	0.0	0
30	0	87.001	154.115	114.561	154.157	Original	0.0	0.4	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
31	0	116.785	154.115	133.681	154.157	Date	0.0	0.4	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
32	0	140.353	154.115	156.801	154.157	Rev:	0.0	0.31	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
33	0	171.751	154.115	202.887	154.157	10/22/12	0.0	0.19	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
34	0	209.559	154.115	240.695	154.157	10/22/12	0.0	0.23	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
35	0	331.501	154.115	351.509	154.157	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
36	0	353.733	154.115	376.853	154.157	Office:	0.0	0.38	0.0	0.0	0.0	12	7	0.0	0.0	0.0	0
37	0	432.0	154.355	461.776	154.397	EWSDC	0.0	0.38	0.0	0.0	0.0	297	5	0.0	0.0	0.0	0
38	0	87.001	169.115	107.449	169.157	Order	0.0	0.4	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
39	0	109.673	169.115	129.681	169.157	Type:	0.0	0.32	0.0	0.0	0.0	45	5	0.0	0.0	0.0	0
40	0	171.751	169.115	209.983	169.157	GENERAL	0.0	0.32	0.0	0.0	0.0	138	7	0.0	0.0	0.0	0
41	0	331.501	169.115	351.509	169.157	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
42	0	353.733	169.115	381.301	169.157	Region:	0.0	0.33	0.0	0.0	0.0	69	7	0.0	0.0	0.0	0
43	0	432.0	169.355	448.0	169.397	NAT	0.0	0.34	0.0	0.0	0.0	161	3	0.0	0.0	0.0	0
44	0	18.0	199.353	46.896	199.397	Agency	0.0	0.35	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
45	0	87.001	199.353	111.449	199.397	Name:	0.0	0.36	0.0	0.0	0.0	110	5	0.0	0.0	0.0	0
46	0	171.72	199.353	197.048	199.397	GMMB	0.0	0.36	0.0	0.0	0.0	540	4	0.0	0.0	0.0	0
47	0	199.272	199.353	213.056	199.397	Inc.	0.0	0.36	0.0	0.0	0.0	166	4	0.0	0.0	0.0	0
48	0	87.001	214.115	111.457	214.157	Buying	0.0	0.29	0.0	0.0	0.0	67	6	0.0	0.0	0.0	0
49	0	113.681	214.115	143.473	214.157	Contact:	0.0	0.27	0.0	0.0	0.0	79	8	0.0	0.0	0.0	0
50	0	171.751	214.115	196.647	214.157	Kristen	0.0	0.27	0.0	0.0	0.0	1800	7	0.0	0.0	0.0	0
51	0	198.871	214.115	234.887	214.157	Keuleman	0.0	0.26	0.0	0.0	0.0	1478	8	0.0	0.0	0.0	0
52	0	331.501	214.115	352.837	214.157	Billing	0.0	0.26	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
