	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	223.68	20.11	266.592	29.771	Contract	0.0	0.14	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	289.68	20.365	339.224	31.074	1401188	0.0	0.14	0.0	0.0	0.59	0	7	1.0	1.0	14.152832	0
2	0	447.96	22.274	460.776	27.512	Date	0.0	0.16	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
3	0	462.364	22.274	483.772	27.512	Entered	0.0	0.17	0.0	0.0	0.0	598	7	0.0	0.0	0.0	0
4	0	503.76	22.607	532.046	29.393	10/26/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
5	0	608.283	21.442	639.915	28.193	Asheville	0.0	0.23	0.0	0.0	0.0	2054	9	0.0	0.0	0.0	0
6	0	641.895	21.442	669.178	28.193	(WLOS)	0.0	0.23	0.0	0.0	0.0	1973	6	0.0	0.0	0.0	0
7	0	223.68	33.194	248.489	38.432	Schedule	0.0	0.23	0.0	0.0	0.0	387	8	0.0	0.0	0.0	0
8	0	250.077	33.194	265.707	38.432	Dates	0.0	0.21	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
9	0	289.68	33.527	348.804	40.313	10/29/12-11/05/12	0.0	0.16	0.0	0.0	0.0	0	17	0.7058824	0.0	0.0	0
10	0	447.96	33.794	459.333	39.032	Last	0.0	0.16	0.0	0.0	0.0	330	4	0.0	0.0	0.0	0
11	0	460.925	33.794	484.486	39.032	Modified	0.0	0.16	0.0	0.0	0.0	645	8	0.0	0.0	0.0	0
12	0	503.76	34.127	532.046	40.913	10/26/12	0.0	0.25	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
13	0	618.0	31.007	648.163	37.793	Broadcast	0.0	0.35	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
14	0	650.274	31.007	669.528	37.793	Month	0.0	0.35	0.0	0.0	0.0	52	5	0.0	0.0	0.0	0
15	0	678.6	30.9	696.519	37.07	Spots	0.0	0.35	0.0	0.0	0.0	4	5	0.0	0.0	0.0	0
16	0	747.12	30.9	761.949	37.07	Rate	0.0	0.35	0.0	0.0	0.0	13	4	0.0	0.0	0.0	0
17	0	608.28	40.967	622.389	47.753	Nov.	0.0	0.23	0.0	0.0	0.0	604	4	0.0	0.0	0.0	0
18	0	626.765	40.967	642.095	47.753	2012	0.0	0.21	0.0	0.0	0.57	0	4	1.0	1.0	7.6073813	0
19	0	728.041	40.967	759.216	47.753	$4,025.00	0.0	0.23	0.0	0.0	1.0	0	9	0.6666667	1.0	8.300529	gross_amount
20	0	115.44	46.967	137.171	55.409	WLOS	0.0	0.26	0.0	0.0	0.0	1973	4	0.0	0.0	0.0	0
21	0	139.204	46.967	168.865	55.409	Asheville	0.0	0.43	0.0	0.0	0.0	2054	9	0.0	0.0	0.0	0
22	0	223.682	44.375	254.862	50.195	Advertiser	0.0	0.69	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
23	0	289.683	44.807	313.508	51.593	Troxler,	0.0	0.84	0.0	0.0	0.0	7304	8	0.0	0.0	0.0	0
24	0	315.72	44.807	344.136	51.593	Steve-NC	0.0	0.89	0.0	0.0	0.0	11552	8	0.0	0.0	0.0	advertiser
25	0	346.312	44.807	383.211	51.593	Commission	0.0	0.89	0.0	0.0	0.0	83	10	0.0	0.0	0.0	advertiser
26	0	393.491	44.807	426.561	51.593	Agriculture	0.0	0.89	0.0	0.0	0.0	7305	11	0.0	0.0	0.0	advertiser
27	0	428.774	44.807	469.368	51.593	(3294)Entered	0.0	0.61	0.0	0.0	0.0	598	13	0.30769232	0.0	0.0	0
28	0	503.76	44.087	521.356	50.873	Jamie	0.0	0.31	0.0	0.0	0.0	3435	5	0.0	0.0	0.0	0
29	0	523.573	44.087	541.922	50.873	Aynes	0.0	0.31	0.0	0.0	0.0	5795	5	0.0	0.0	0.0	0
30	0	115.44	57.527	127.711	65.969	110	0.0	0.31	0.0	0.0	0.62	0	3	1.0	1.0	4.7095304	0
31	0	129.718	57.527	167.85	65.969	Technology	0.0	0.31	0.0	0.0	0.0	1861	10	0.0	0.0	0.0	0
32	0	223.682	56.615	245.503	62.435	Agency	0.0	0.27	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
33	0	289.68	57.527	307.867	64.313	Media	0.0	0.27	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
34	0	309.97	57.527	341.697	64.313	Placement	0.0	0.26	0.0	0.0	0.0	611	9	0.0	0.0	0.0	0
35	0	343.808	57.527	368.99	64.313	Services	0.0	0.27	0.0	0.0	0.0	299	8	0.0	0.0	0.0	0
36	0	371.161	57.527	391.836	64.313	(1350)	0.0	0.27	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
37	0	447.96	56.954	465.79	62.192	CO-OP	0.0	0.28	0.0	0.0	0.0	675	5	0.0	0.0	0.0	0
38	0	608.28	52.709	625.241	58.91	Grand	0.0	0.28	0.0	0.0	0.0	503	5	0.0	0.0	0.0	0
39	0	627.246	52.709	643.659	58.91	Total:	0.0	0.28	0.0	0.0	0.0	106	6	0.0	0.0	0.0	0
40	0	728.04	54.287	759.215	61.073	$4,025.00	0.0	0.17	0.0	0.0	1.0	0	9	0.6666667	1.0	8.300529	gross_amount
41	0	115.444	68.207	147.129	76.649	Asheville,	0.0	0.2	0.0	0.0	0.0	2054	10	0.0	0.0	0.0	0
42	0	163.796	68.207	184.226	76.649	28803	0.0	0.23	0.0	0.0	0.53	0	5	1.0	1.0	10.26827	0
43	0	223.68	69.194	245.006	74.432	Product	0.0	0.25	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
44	0	289.68	69.527	323.162	76.313	POLITICAL	0.0	0.25	0.0	0.0	0.0	160	9	0.0	0.0	0.0	0
45	0	325.336	69.527	362.61	76.313	CANDIDATE	0.0	0.21	0.0	0.0	0.0	292	9	0.0	0.0	0.0	0
46	0	364.821	69.527	377.094	76.313	(ns)	0.0	0.21	0.0	0.0	0.0	904	4	0.0	0.0	0.0	0
47	0	379.228	69.527	399.902	76.313	(1186)	0.0	0.18	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
48	0	447.96	68.474	471.935	73.712	Headline	0.0	0.23	0.0	0.0	0.0	949	8	0.0	0.0	0.0	0
49	0	223.68	81.194	239.926	86.432	Brand	0.0	0.33	0.0	0.0	0.0	366	5	0.0	0.0	0.0	0
50	0	289.683	81.527	311.388	88.313	Troxler	0.0	0.47	0.0	0.0	0.0	7304	7	0.0	0.0	0.0	0
51	0	313.558	81.527	322.066	88.313	for	0.0	0.47	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
52	0	335.28	81.527	355.062	88.313	Comm	0.0	0.62	0.0	0.0	0.0	485	4	0.0	0.0	0.0	0
53	0	365.414	81.527	398.483	88.313	Argiculture	0.0	0.62	0.0	0.0	0.0	11553	11	0.0	0.0	0.0	0
54	0	400.697	81.527	421.371	88.313	(2126)	0.0	0.52	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
55	0	447.959	79.994	463.779	85.232	Demo	0.0	0.39	0.0	0.0	0.0	416	4	0.0	0.0	0.0	0
56	0	223.68	93.194	256.669	98.432	Salesperson	0.0	0.28	0.0	0.0	0.0	337	11	0.0	0.0	0.0	0
57	0	289.68	93.527	350.72	100.313	HOUSE-ASHEVILLE,	0.0	0.28	0.0	0.0	0.0	5546	16	0.0	0.0	0.0	0
58	0	352.932	93.527	393.847	100.313	WLOS/WMYA	0.0	0.28	0.0	0.0	0.0	5547	9	0.0	0.0	0.0	0
59	0	396.026	93.527	416.701	100.313	(1552)	0.0	0.3	0.0	0.0	0.0	0	6	0.6666667	0.0	0.0	0
60	0	447.959	91.634	463.508	96.872	Order	0.0	0.33	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
61	0	465.123	91.634	478.174	96.872	Type	0.0	0.33	0.0	0.0	0.0	45	4	0.0	0.0	0.0	0
62	0	505.56	91.727	527.673	98.513	Normal	0.0	0.33	0.0	0.0	0.0	461	6	0.0	0.0	0.0	0
63	0	447.96	102.194	470.734	107.432	Package	0.0	0.33	0.0	0.0	0.0	390	7	0.0	0.0	0.0	0
64	0	472.323	102.194	484.518	107.432	Deal	0.0	0.3	0.0	0.0	0.0	284	4	0.0	0.0	0.0	0
65	0	223.68	106.034	238.109	111.272	Sales	0.0	0.32	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
66	0	239.645	106.034	255.694	111.272	Office	0.0	0.32	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
67	0	289.68	105.768	366.96	112.554	WLOS/WMYA/ILOS/IMYA	0.0	0.24	0.0	0.0	0.0	5796	19	0.0	0.0	0.0	0
68	0	28.199	115.008	48.268	123.45	Media	0.0	0.24	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
69	0	50.276	115.008	85.087	123.45	Placement	0.0	0.28	0.0	0.0	0.0	611	9	0.0	0.0	0.0	0
