	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	408.0	17.57	424.511	26.865	Print	0.0	0.21	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
1	0	426.84	17.57	443.782	26.865	Date	0.0	0.19	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
2	0	450.0	17.57	481.222	26.865	10/30/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
3	0	483.48	17.57	514.702	26.865	16:54:07	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
4	0	534.0	17.57	552.741	26.865	Page	0.0	0.2	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
5	0	277.2	27.512	334.781	46.504	ORDER	0.0	0.26	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
6	0	18.0	71.537	44.302	81.105	Orders	0.0	0.26	0.0	0.0	0.0	54	6	0.0	0.0	0.0	0
7	0	87.0	71.537	108.842	81.105	Order	0.0	0.23	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
8	0	115.68	71.537	132.992	81.105	Rev:	0.0	0.2	0.0	0.0	0.0	71	4	0.0	0.0	0.0	0
9	0	171.72	71.537	198.382	81.105	169961	0.0	0.2	0.0	0.0	0.5	0	6	1.0	1.0	12.04333	0
10	0	87.0	86.57	96.431	95.865	Alt	0.0	0.2	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
11	0	98.76	86.57	119.192	95.865	Order	0.0	0.2	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
12	0	87.0	101.57	114.671	110.865	Product	0.0	0.2	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
13	0	117.0	101.57	137.591	110.865	Desc:	0.0	0.19	0.0	0.0	0.0	141	5	0.0	0.0	0.0	0
14	0	171.72	101.57	205.582	110.865	11/1-11/6	0.0	0.15	0.0	0.0	0.0	0	9	0.6666667	0.0	0.0	0
15	0	207.84	101.57	222.142	110.865	Add	0.0	0.17	0.0	0.0	0.0	1051	3	0.0	0.0	0.0	0
16	0	233.4	101.57	265.582	110.865	schedule	0.0	0.23	0.0	0.0	0.0	387	8	0.0	0.0	0.0	0
17	0	87.0	116.57	120.791	125.865	Estimate:	0.0	0.23	0.0	0.0	0.0	23	9	0.0	0.0	0.0	0
18	0	432.0	115.097	449.794	124.665	KOB	0.0	0.23	0.0	0.0	0.0	1083	3	0.0	0.0	0.0	0
19	0	87.0	131.57	106.631	140.865	Flight	0.0	0.21	0.0	0.0	0.0	61	6	0.0	0.0	0.0	0
20	0	108.96	131.57	132.191	140.865	Dates:	0.0	0.21	0.0	0.0	0.0	18	6	0.0	0.0	0.0	0
21	0	171.72	131.57	202.942	140.865	11/01/12	0.0	0.18	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
22	0	210.12	131.57	241.342	140.865	11/06/12	0.0	0.12	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
23	0	331.44	131.57	359.212	140.865	Primary	0.0	0.21	0.0	0.0	0.0	80	7	0.0	0.0	0.0	0
24	0	361.44	131.57	374.471	140.865	AE:	0.0	0.34	0.0	0.0	0.0	123	3	0.0	0.0	0.0	0
