	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	10.0	11.576	25.498	21.953	Rep	0.0	0.19	0.0	0.0	0.0	688	3	0.0	0.0	0.0	0
1	0	27.748	11.576	56.242	21.953	Order#	0.0	0.17	0.0	0.0	0.0	9	6	0.0	0.0	0.0	0
2	0	70.0	11.909	101.5	21.953	6868701	0.0	0.28	0.0	0.0	0.53	0	7	1.0	1.0	15.742486	0
3	0	130.0	11.576	148.99	21.953	Ver#	0.0	0.38	0.0	0.0	0.0	1043	4	0.0	0.0	0.0	0
4	0	180.0	11.576	204.003	21.953	Status	0.0	0.38	0.0	0.0	0.0	823	6	0.0	0.0	0.0	0
5	0	210.0	11.909	226.992	21.953	New	0.0	0.38	0.0	0.0	0.0	46	3	0.0	0.0	0.0	0
6	0	285.0	11.576	311.991	21.953	Traffic	0.0	0.41	0.0	0.0	0.0	353	7	0.0	0.0	0.0	0
7	0	314.241	11.576	342.735	21.953	Order#	0.0	0.44	0.0	0.0	0.0	9	6	0.0	0.0	0.0	0
8	0	455.0	11.576	486.995	21.953	Printed:	0.0	0.46	0.0	0.0	0.0	159	8	0.0	0.0	0.0	0
9	0	510.0	11.909	551.004	21.953	10/29/2012	0.0	0.33	0.0	0.0	0.0	0	10	0.8	0.0	0.0	0
10	0	553.254	11.909	569.256	21.953	9:16	0.0	0.3	0.0	0.0	0.0	0	4	0.75	0.0	0.0	0
11	0	10.0	21.576	30.007	31.953	EC'd	0.0	0.27	0.0	0.0	0.0	1044	4	0.0	0.0	0.0	0
12	0	40.0	21.909	53.995	31.953	Yes	0.0	0.29	0.0	0.0	0.0	712	3	0.0	0.0	0.0	0
13	0	435.0	21.576	452.001	31.953	Last	0.0	0.32	0.0	0.0	0.0	330	4	0.0	0.0	0.0	0
14	0	454.251	21.576	491.736	31.953	Received:	0.0	0.32	0.0	0.0	0.0	164	9	0.0	0.0	0.0	0
15	0	509.0	21.909	550.004	31.953	10/29/2012	0.0	0.24	0.0	0.0	0.0	0	10	0.8	0.0	0.0	0
16	0	552.254	21.909	568.256	31.953	8:23	0.0	0.26	0.0	0.0	0.0	0	4	0.75	0.0	0.0	0
17	0	411.0	31.576	444.012	41.953	Showing	0.0	0.3	0.0	0.0	0.0	970	7	0.0	0.0	0.0	0
18	0	446.262	31.576	496.502	41.953	Buylines:All	0.0	0.27	0.0	0.0	0.0	1053	12	0.0	0.0	0.0	0
19	0	498.752	31.909	518.75	41.953	Lines	0.0	0.27	0.0	0.0	0.0	620	5	0.0	0.0	0.0	0
20	0	10.0	51.576	37.504	61.953	Station	0.0	0.25	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
21	0	50.0	51.909	89.492	61.953	KSNV-TV	0.0	0.25	0.0	0.0	0.0	2694	7	0.0	0.0	0.0	0
22	0	93.992	51.909	110.993	61.953	LAS	0.0	0.27	0.0	0.0	0.0	638	3	0.0	0.0	0.0	0
23	0	113.243	51.909	145.49	61.953	VEGAS,	0.0	0.27	0.0	0.0	0.0	550	6	0.0	0.0	0.0	0
24	0	147.74	51.909	162.986	61.953	NV.	0.0	0.27	0.0	0.0	0.0	1038	3	0.0	0.0	0.0	0
25	0	265.0	51.576	293.494	61.953	Agency	0.0	0.25	0.0	0.0	0.0	2	6	0.0	0.0	0.0	0
26	0	335.744	51.909	378.242	61.953	MENTZER	0.0	0.43	0.0	0.0	0.0	413	7	0.0	0.0	0.0	0
27	0	380.492	51.909	409.985	61.953	MEDIA	0.0	0.47	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
28	0	520.0	51.576	535.498	61.953	Rep	0.0	0.47	0.0	0.0	0.0	688	3	0.0	0.0	0.0	0
29	0	537.748	51.576	557.242	61.953	Firm	0.0	0.47	0.0	0.0	0.0	374	4	0.0	0.0	0.0	0
30	0	10.0	61.576	50.986	71.953	Advertiser	0.0	0.4	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
31	0	90.744	61.909	121.245	71.953	.AMER.	0.0	0.82	0.0	0.0	0.0	879	6	0.0	0.0	0.0	0
32	0	123.495	61.909	158.496	71.953	FUTURE	0.0	0.82	0.0	0.0	0.0	693	6	0.0	0.0	0.0	0
33	0	160.746	61.909	185.244	71.953	FUND	0.0	0.82	0.0	0.0	0.0	1040	4	0.0	0.0	0.0	0
34	0	305.0	61.909	318.5	71.953	600	0.0	0.76	0.0	0.0	0.53	0	3	1.0	1.0	6.398595	0
35	0	320.75	61.909	367.748	71.953	FAIRMONT	0.0	0.51	0.0	0.0	0.0	942	8	0.0	0.0	0.0	0
36	0	369.998	61.909	390.743	71.953	AVE,	0.0	0.26	0.0	0.0	0.0	198	4	0.0	0.0	0.0	0
37	0	392.993	61.909	415.997	71.953	S#306	0.0	0.29	0.0	0.0	0.0	49	5	0.6	0.0	0.0	0
38	0	520.0	61.576	539.503	71.953	Sales	0.0	0.34	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
39	0	541.753	61.576	565.243	71.953	Office	0.0	0.34	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
40	0	600.744	61.909	665.733	71.953	PHILADELPHIA	0.0	0.55	0.0	0.0	0.0	217	12	0.0	0.0	0.0	0
41	0	10.0	71.576	40.996	81.953	Product	0.0	0.84	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
42	0	60.0	71.909	107.997	81.953	AMERICAN	0.0	1.0	0.0	0.0	0.0	258	8	0.0	0.0	0.0	advertiser
43	0	110.247	71.909	145.248	81.953	FUTURE	0.0	1.0	0.0	0.0	0.0	693	6	0.0	0.0	0.0	advertiser
44	0	147.498	71.909	171.996	81.953	FUND	0.0	1.0	0.0	0.0	0.0	1040	4	0.0	0.0	0.0	advertiser
