	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	17.999	19.01	48.31	26.953	Contract	0.0	0.31	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.639	19.01	89.95	26.953	Agreement	0.0	0.37	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	92.279	19.01	125.59	26.953	Between:	0.0	0.37	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.96	19.01	446.471	26.953	Print	0.0	0.31	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	448.8	19.01	465.741	26.953	Date	0.0	0.31	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.0	19.01	505.221	26.953	11/12/12	0.0	0.24	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.28	19.01	552.021	26.953	Page	0.0	0.21	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.48	29.934	350.413	45.24	CONTRACT	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	120.0	55.86	142.177	65.412	KOB	0.0	0.36	0.0	0.0	0.0	1083	3	0.0	0.0	0.0	0
9	0	406.68	54.289	436.99	62.233	Contract	0.0	0.36	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.88	54.289	474.621	62.233	Revision	0.0	0.3	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.84	54.289	505.271	62.233	Alt	0.0	0.3	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.6	54.289	528.032	62.233	Order	0.0	0.29	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	128.28	67.86	176.95	77.412	Broadcast	0.0	0.29	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
14	0	179.76	67.86	205.207	77.412	Plaza	0.0	0.25	0.0	0.0	0.0	616	5	0.0	0.0	0.0	0
15	0	417.24	66.289	443.902	74.233	170700	0.0	0.21	0.0	0.0	0.82	0	6	1.0	1.0	12.047668	0
16	0	495.84	66.289	531.382	74.233	06871150	0.0	0.21	0.0	0.0	0.56	0	8	1.0	1.0	15.742842	0
17	0	120.0	79.86	183.963	89.412	Albuquerque,	0.0	0.35	0.0	0.0	0.0	2295	12	0.0	0.0	0.0	0
18	0	207.96	79.86	235.567	89.412	87104	0.0	0.35	0.0	0.0	0.62	0	5	1.0	1.0	11.374869	0
19	0	309.0	79.729	336.671	87.673	Product	0.0	0.44	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
20	0	120.0	91.86	185.287	101.412	(505)243-4411	0.0	0.61	0.0	0.0	0.0	0	13	0.7692308	0.0	0.0	0
21	0	307.44	92.203	330.874	99.913	AMER	0.0	0.79	0.0	0.0	0.0	879	4	0.0	0.0	0.0	0
22	0	333.12	92.203	383.484	99.913	PETROLEUM	0.0	0.79	0.0	0.0	0.0	3571	9	0.0	0.0	0.0	0
23	0	385.92	92.203	404.263	99.913	INST	0.0	0.79	0.0	0.0	0.0	12177	4	0.0	0.0	0.0	0
24	0	308.28	104.569	338.591	112.513	Contract	0.0	0.75	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
25	0	340.92	104.569	361.852	112.513	Dates	0.0	0.62	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
26	0	407.28	104.569	438.861	112.513	Estimate	0.0	0.43	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
27	0	17.999	115.692	64.068	121.529	www.kobtv.com	0.0	0.3	0.0	0.0	0.0	4059	13	0.0	0.0	0.0	0
28	0	308.28	117.043	339.502	124.753	11/26/12	0.0	0.21	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
29	0	346.68	117.043	377.902	124.753	12/02/12	0.0	0.32	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
30	0	407.28	117.043	425.062	124.753	3299	0.0	0.42	0.0	0.0	0.4	0	4	1.0	1.0	8.101678	0
31	0	309.0	129.289	345.152	137.233	Advertiser	0.0	0.46	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
32	0	484.44	129.289	512.021	137.233	Original	0.0	0.46	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
33	0	514.32	129.289	531.262	137.233	Date	0.0	0.46	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
34	0	538.08	129.289	568.822	137.233	Revision	0.0	0.87	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
35	0	309.0	141.763	345.223	149.473	American	0.0	1.0	0.0	0.0	0.0	258	8	0.0	0.0	0.0	advertiser
36	0	347.52	141.763	386.814	149.473	Petroleum	0.0	1.0	0.0	0.0	0.0	3571	9	0.0	0.0	0.0	advertiser
37	0	389.16	141.763	420.382	149.473	Institute	0.0	1.0	0.0	0.0	0.0	3945	9	0.0	0.0	0.0	advertiser
38	0	491.64	141.289	522.861	149.233	11/12/12	0.0	0.87	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
39	0	545.28	141.289	576.501	149.233	11/12/12	0.0	0.35	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
40	0	17.999	151.009	34.51	158.953	And:	0.0	0.27	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
41	0	406.68	154.009	428.181	161.953	Billing	0.0	0.27	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
42	0	430.44	154.009	450.501	161.953	Cycle	0.0	0.3	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
43	0	457.92	154.009	479.421	161.953	Billing	0.0	0.3	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
44	0	481.68	154.009	514.112	161.953	Calendar	0.0	0.3	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
45	0	536.4	154.009	578.301	161.953	Cash/Trade	0.0	0.31	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
46	0	406.68	166.009	444.634	173.953	EOM/EOC	0.0	0.31	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
47	0	457.92	166.009	494.111	173.953	Broadcast	0.0	0.31	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
48	0	536.4	166.009	555.141	173.953	Cash	0.0	0.31	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
49	0	89.999	171.291	128.594	179.922	Strategic	0.0	0.36	0.0	0.0	0.0	544	9	0.0	0.0	0.0	0
50	0	131.159	171.291	156.794	179.922	Media	0.0	0.39	0.0	0.0	0.0	59	5	0.0	0.0	0.0	0
51	0	159.359	171.291	196.394	179.922	Services	0.0	0.42	0.0	0.0	0.0	299	8	0.0	0.0	0.0	0
52	0	406.44	178.729	431.541	186.673	Station	0.0	0.42	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
53	0	457.92	178.729	487.031	186.673	Account	0.0	0.42	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
54	0	489.36	178.729	524.061	186.673	Executive	0.0	0.42	0.0	0.0	0.0	24	9	0.0	0.0	0.0	0
55	0	536.28	178.729	556.372	186.673	Sales	0.0	0.3	0.0	0.0	0.0	10	5	0.0	0.0	0.0	0
56	0	558.72	178.729	579.861	186.673	Office	0.0	0.27	0.0	0.0	0.0	12	6	0.0	0.0	0.0	0
57	0	89.999	181.731	110.114	190.362	3299	0.0	0.26	0.0	0.0	0.4	0	4	1.0	1.0	8.101678	0
58	0	150.719	181.731	164.714	190.362	Ste	0.0	0.26	0.0	0.0	0.0	344	3	0.0	0.0	0.0	0
59	0	167.279	181.731	182.354	190.362	200	0.0	0.24	0.0	0.0	0.71	0	3	1.0	1.0	5.3033047	0
60	0	89.999	192.171	144.217	200.802	Washington,	0.0	0.22	0.0	0.0	0.0	97	11	0.0	0.0	0.0	0
61	0	164.759	192.171	213.074	200.802	20007-4415	0.0	0.26	0.0	0.0	0.0	0	10	0.9	0.0	0.0	0
62	0	406.44	191.203	424.234	198.913	KOB	0.0	0.33	0.0	0.0	0.0	1083	3	0.0	0.0	0.0	0
63	0	457.92	190.729	485.181	198.673	Melissa	0.0	0.36	0.0	0.0	0.0	1112	7	0.0	0.0	0.0	0
64	0	487.44	190.729	519.261	198.673	Palombo	0.0	0.36	0.0	0.0	0.0	1983	7	0.0	0.0	0.0	0
