	page	x0	y0	x1	y1	token	contract_num	advertiser	flight_from	flight_to	gross_amount	tok_id	length	digitness	is_dollar	log_amount	label
0	0	18.0	17.963	48.232	26.899	Contract	0.0	0.25	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
1	0	50.456	17.963	89.584	26.899	Agreement	0.0	0.31	0.0	0.0	0.0	115	9	0.0	0.0	0.0	0
2	0	91.808	17.963	125.16	26.899	Between:	0.0	0.31	0.0	0.0	0.0	120	8	0.0	0.0	0.0	0
3	0	429.272	17.963	445.72	26.899	Print	0.0	0.31	0.0	0.0	0.0	37	5	0.0	0.0	0.0	0
4	0	447.944	17.963	464.84	26.899	Date	0.0	0.31	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
5	0	474.001	17.963	505.137	26.899	12/03/12	0.0	0.2	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
6	0	533.251	17.963	551.931	26.899	Page	0.0	0.15	0.0	0.0	0.0	7	4	0.0	0.0	0.0	0
7	0	261.18	27.283	350.94	45.155	CONTRACT	0.0	0.22	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
8	0	119.999	54.193	150.549	65.363	WUSA	0.0	0.2	0.0	0.0	0.0	1212	4	0.0	0.0	0.0	0
9	0	406.681	53.213	436.913	62.149	Contract	0.0	0.27	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
10	0	443.585	53.213	474.257	62.149	Revision	0.0	0.33	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
11	0	495.842	53.213	505.178	62.149	Alt	0.0	0.33	0.0	0.0	0.0	31	3	0.0	0.0	0.0	0
12	0	507.402	53.213	527.85	62.149	Order	0.0	0.23	0.0	0.0	0.0	9	5	0.0	0.0	0.0	0
13	0	119.999	66.193	142.239	77.363	4100	0.0	0.23	0.0	0.0	0.67	0	4	1.0	1.0	8.318986	0
14	0	145.019	66.193	195.029	77.363	Wisconsin	0.0	0.23	0.0	0.0	0.0	306	9	0.0	0.0	0.0	0
15	0	197.809	66.193	218.929	77.363	Ave,	0.0	0.13	0.0	0.0	0.0	198	4	0.0	0.0	0.0	0
16	0	417.001	65.213	443.689	74.149	732184	0.0	0.11	0.0	0.0	0.47	0	6	1.0	1.0	13.503789	0
17	0	495.842	65.213	531.426	74.149	06432360	0.0	0.09	0.0	0.0	0.67	0	8	1.0	1.0	15.676852	0
18	0	119.999	78.193	179.999	89.363	Washington,	0.0	0.12	0.0	0.0	0.0	97	11	0.0	0.0	0.0	0
19	0	202.779	78.193	230.579	89.363	20016	0.0	0.15	0.0	0.0	0.62	0	5	1.0	1.0	9.904337	0
20	0	309.002	78.713	336.57	87.649	Product	0.0	0.3	0.0	0.0	0.0	5	7	0.0	0.0	0.0	0
21	0	119.999	90.193	185.589	101.363	(202)895-5999	0.0	0.54	0.0	0.0	0.0	0	13	0.7692308	0.0	0.0	0
22	0	307.5	90.953	329.716	99.889	DFND	0.0	0.72	0.0	0.0	0.0	9986	4	0.0	0.0	0.0	0
23	0	331.94	90.953	354.604	99.889	DVDN	0.0	0.72	0.0	0.0	0.0	37359	4	0.0	0.0	0.0	0
24	0	356.828	90.953	389.268	99.889	ALLNCE	0.0	0.72	0.0	0.0	0.0	37360	6	0.0	0.0	0.0	0
25	0	308.251	103.463	338.483	112.399	Contract	0.0	0.6	0.0	0.0	0.0	53	8	0.0	0.0	0.0	0
26	0	340.707	103.463	361.603	112.399	Dates	0.0	0.33	0.0	0.0	0.0	18	5	0.0	0.0	0.0	0
27	0	407.251	103.463	438.371	112.399	Estimate	0.0	0.27	0.0	0.0	0.0	23	8	0.0	0.0	0.0	0
28	0	18.0	114.067	67.208	123.123	www.wusa9.com	0.0	0.27	0.0	0.0	0.0	8881	13	0.07692308	0.0	0.0	0
29	0	308.251	115.703	339.387	124.639	12/02/12	0.0	0.12	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
30	0	346.499	115.703	377.635	124.639	12/09/12	0.0	0.29	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
31	0	309.002	128.213	345.01	137.149	Advertiser	0.0	0.34	0.0	0.0	0.0	6	10	0.0	0.0	0.0	0
32	0	484.501	128.213	512.061	137.149	Original	0.0	0.34	0.0	0.0	0.0	39	8	0.0	0.0	0.0	0
33	0	514.285	128.213	531.181	137.149	Date	0.0	0.34	0.0	0.0	0.0	8	4	0.0	0.0	0.0	0
34	0	537.853	128.213	568.525	137.149	Revision	0.0	0.65	0.0	0.0	0.0	75	8	0.0	0.0	0.0	0
35	0	309.002	140.453	336.114	149.389	Defend	0.0	0.82	0.0	0.0	0.0	1681	6	0.0	0.0	0.0	advertiser
36	0	351.674	140.453	385.458	149.389	Dividend	0.0	0.82	0.0	0.0	0.0	8293	8	0.0	0.0	0.0	advertiser
37	0	387.682	140.453	401.906	149.389	and	0.0	0.82	0.0	0.0	0.0	77	3	0.0	0.0	0.0	advertiser
38	0	404.13	140.453	434.81	149.389	Alliance	0.0	0.78	0.0	0.0	0.0	3543	8	0.0	0.0	0.0	0
39	0	437.034	140.453	447.698	149.389	for	0.0	0.68	0.0	0.0	0.0	50	3	0.0	0.0	0.0	0
40	0	449.922	140.453	480.602	149.389	Savings	0.0	0.43	0.0	0.0	0.0	14343	7	0.0	0.0	0.0	0
41	0	482.826	140.213	499.937	149.389	an1d1	0.0	0.33	0.0	0.0	0.0	77	5	0.4	0.0	0.0	0
42	0	499.274	140.213	522.177	149.389	I/n29/12	0.0	0.25	0.0	0.0	0.0	90	8	0.5	0.0	0.0	0
43	0	544.665	140.213	575.801	149.149	11/29/12	0.0	0.37	0.0	0.0	0.0	0	8	0.75	0.0	0.0	0
44	0	18.0	149.963	34.456	158.899	And:	0.0	0.44	0.0	0.0	0.0	77	4	0.0	0.0	0.0	0
45	0	406.681	152.963	428.017	161.899	Billing	0.0	0.44	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
46	0	430.241	152.963	450.241	161.899	Cycle	0.0	0.44	0.0	0.0	0.0	32	5	0.0	0.0	0.0	0
47	0	457.92	152.963	479.256	161.899	Billing	0.0	0.38	0.0	0.0	0.0	11	7	0.0	0.0	0.0	0
48	0	481.48	152.963	513.936	161.899	Calendar	0.0	0.24	0.0	0.0	0.0	48	8	0.0	0.0	0.0	0
49	0	536.4	152.963	578.192	161.899	Cash/Trade	0.0	0.29	0.0	0.0	0.0	150	10	0.0	0.0	0.0	0
50	0	406.681	164.963	444.465	173.899	EOM/EOC	0.0	0.29	0.0	0.0	0.0	43	7	0.0	0.0	0.0	0
51	0	457.92	164.963	493.936	173.899	Broadcast	0.0	0.24	0.0	0.0	0.0	41	9	0.0	0.0	0.0	0
52	0	536.4	164.963	555.072	173.899	Cash	0.0	0.24	0.0	0.0	0.0	21	4	0.0	0.0	0.0	0
53	0	90.0	169.758	109.503	179.811	Blue	0.0	0.29	0.0	0.0	0.0	764	4	0.0	0.0	0.0	0
54	0	112.005	169.758	128.016	179.811	Sky	0.0	0.29	0.0	0.0	0.0	8294	3	0.0	0.0	0.0	0
55	0	130.518	169.758	158.526	179.811	Media/	0.0	0.29	0.0	0.0	0.0	59	6	0.0	0.0	0.0	0
56	0	161.028	169.758	179.532	179.811	POL	0.0	0.29	0.0	0.0	0.0	103	3	0.0	0.0	0.0	0
57	0	90.0	180.258	110.016	190.311	1054	0.0	0.26	0.0	0.0	0.53	0	4	1.0	1.0	6.961296	0
58	0	112.518	180.258	130.527	190.311	31st	0.0	0.24	0.0	0.0	0.0	244	4	0.5	0.0	0.0	0
59	0	133.029	180.258	158.535	190.311	Street	0.0	0.3	0.0	0.0	0.0	162	6	0.0	0.0	0.0	0
60	0	406.5	177.713	431.404	186.649	Station	0.0	0.3	0.0	0.0	0.0	57	7	0.0	0.0	0.0	0
61	0	457.92	177.713	486.824	186.649	Account	0.0	0.38	0.0	0.0	0.0	15	7	0.0	0.0	0.0	0
